property,network,result,lower_bound,upper_bound,time,steps
1,1-1,UNSAT,0.0,0.0,0.117857139,104
1,1-2,UNSAT,0.0,0.0,0.059354764,86
1,1-3,UNSAT,0.0,0.0,0.089806629,134
1,1-4,UNSAT,0.0,0.0,0.038390623,74
1,1-5,UNSAT,0.0,0.0,0.033094892,60
1,1-6,UNSAT,0.0,0.0,0.037645106,58
1,1-7,UNSAT,0.0,0.0,0.017734286,34
1,1-8,UNSAT,0.0,0.0,0.018176782,19
1,1-9,UNSAT,0.0,0.0,0.008835219,13
1,2-1,UNSAT,0.0,0.0,0.050604205,99
1,2-2,UNSAT,0.0,0.0,0.193470363,388
1,2-3,UNSAT,0.0,0.0,0.062423596,147
1,2-4,UNSAT,0.0,0.0,0.051133202,124
1,2-5,UNSAT,0.0,0.0,0.436492216,1025
1,2-6,UNSAT,0.0,0.0,0.244137501,539
1,2-7,UNSAT,0.0,0.0,1.762211418,4569
1,2-8,UNSAT,0.0,0.0,3.919481286,11164
1,2-9,UNSAT,0.0,0.0,3.468716468,9845
1,3-1,UNSAT,0.0,0.0,0.196505005,465
1,3-2,UNSAT,0.0,0.0,0.092728839,209
1,3-3,UNSAT,0.0,0.0,0.119068576,262
1,3-4,UNSAT,0.0,0.0,0.078319062,196
1,3-5,UNSAT,0.0,0.0,0.570783855,1470
1,3-6,UNSAT,0.0,0.0,0.969192866,2302
1,3-7,UNSAT,0.0,0.0,1.095119247,2812
1,3-8,UNSAT,0.0,0.0,1.274520352,3388
1,3-9,UNSAT,0.0,2.411399427693084e-5,3.971298691,12074
1,4-1,UNSAT,0.0,0.0,0.303240303,691
1,4-2,UNSAT,0.0,0.0,0.125989702,251
1,4-3,UNSAT,0.0,0.0,0.089885754,233
1,4-4,UNSAT,0.0,0.0,0.057377183,140
1,4-5,UNSAT,0.0,0.0,0.188787371,473
1,4-6,UNSAT,0.0,0.0,1.639428282,4098
1,4-7,UNSAT,0.0,0.0,3.315512913,9335
1,4-8,UNSAT,0.0,0.0,1.190801813,3004
1,4-9,UNSAT,0.0,4.921514239253355e-6,7.953108646,23685
1,5-1,UNSAT,0.0,0.0,0.076446589,168
1,5-2,UNSAT,0.0,0.0,0.094592124,231
1,5-3,UNSAT,0.0,0.0,0.04545162,87
1,5-4,UNSAT,0.0,0.0,0.032129448,85
1,5-5,UNSAT,0.0,0.0,0.144359445,369
1,5-6,UNSAT,0.0,9.15439997060119e-5,0.721554663,1932
1,5-7,UNSAT,0.0,0.0,0.802748361,2263
1,5-8,UNSAT,0.0,0.0,1.58144298,4730
1,5-9,UNSAT,0.0,0.0,1.213910609,3167
2,1-1,unsat,1.0,1.0,28.922945076,8597
2,1-2,sat,0.0,0.0,20.887419138,9955
2,1-3,sat,0.0,0.0,36.915928064,15832
2,1-4,sat,0.0,0.0,10.612741814,5046
2,1-5,sat,0.0,0.0,21.228457846,7082
2,1-6,sat,0.0,0.0,2.505257991,410
2,1-7,unsat,1.0,1.0,39.566632327,14602
2,1-8,unsat,1.0,1.0,23.491070009,9414
2,1-9,unsat,1.0,1.0,37.574666305,16569
2,2-1,sat,0.0,0.0,0.452703662,58
2,2-2,sat,0.0,0.0,0.423432608,30
2,2-3,sat,0.0,0.0,0.023979406,1
2,2-4,sat,0.0,0.0,0.306734102,30
2,2-5,sat,0.0,0.0,0.009764517,1
2,2-6,sat,0.0,0.0,0.00993121,1
2,2-7,sat,0.0,0.0,0.023606768,1
2,2-8,sat,0.0,0.0,0.010126906,1
2,2-9,sat,0.0,0.0,15.386702469,5836
2,3-1,sat,0.0,0.0,0.010051474,1
2,3-2,sat,0.0,0.0,0.389861965,39
2,3-3,inconclusive,0.0,1.0,1106.849373162,750000
2,3-4,sat,0.0,0.0,0.009815599,1
2,3-5,sat,0.0,0.0,0.010307239,1
