property,network,result,lower_bound,upper_bound,time,steps
1,1-1,unsat,0.0,0.0,0.112731591,104
1,1-2,unsat,0.0,0.0,0.081848097,86
1,1-3,unsat,0.0,0.0,0.082223579,134
1,1-4,unsat,0.0,0.0,0.041063247,74
1,1-5,unsat,0.0,0.0,0.041181912,60
1,1-6,unsat,0.0,0.0,0.037711426,58
1,1-7,unsat,0.0,0.0,0.032589776,34
1,1-8,unsat,0.0,0.0,0.015250617,19
1,1-9,unsat,0.0,0.0,0.011813069,13
1,2-1,unsat,0.0,0.0,0.062541152,99
1,2-2,unsat,0.0,0.0,0.201622077,388
1,2-3,unsat,0.0,0.0,0.087988832,147
1,2-4,unsat,0.0,0.0,0.065768418,124
1,2-5,unsat,0.0,0.0,0.427779571,1025
1,2-6,unsat,0.0,0.0,0.246055496,539
1,2-7,unsat,0.0,0.0,1.698611968,4569
1,2-8,unsat,0.0,0.0,3.888894889,11164
1,2-9,unsat,0.0,0.0,3.373233149,9845
1,3-1,unsat,0.0,0.0,0.213068076,465
1,3-2,unsat,0.0,0.0,0.119304652,209
1,3-3,unsat,0.0,0.0,0.131443703,262
1,3-4,unsat,0.0,0.0,0.095025715,196
1,3-5,unsat,0.0,0.0,0.560091335,1470
1,3-6,unsat,0.0,0.0,0.921413038,2302
1,3-7,unsat,0.0,0.0,1.065776741,2812
1,3-8,unsat,0.0,0.0,1.295944854,3388
1,3-9,unsat,0.0,2.411399427693084e-5,4.006272385,12074
1,4-1,unsat,0.0,0.0,0.293535061,691
1,4-2,unsat,0.0,0.0,0.150564598,251
1,4-3,unsat,0.0,0.0,0.119420518,233
1,4-4,unsat,0.0,0.0,0.070549555,140
1,4-5,unsat,0.0,0.0,0.218373337,473
1,4-6,unsat,0.0,0.0,1.539136366,4098
1,4-7,unsat,0.0,0.0,3.092055487,9335
1,4-8,unsat,0.0,0.0,1.13479985,3004
1,4-9,unsat,0.0,4.921514239253355e-6,7.496888163,23685
1,5-1,unsat,0.0,0.0,0.096923367,168
1,5-2,unsat,0.0,0.0,0.123672153,231
1,5-3,unsat,0.0,0.0,0.05261962,87
1,5-4,unsat,0.0,0.0,0.042779098,85
1,5-5,unsat,0.0,0.0,0.170951798,369
1,5-6,unsat,0.0,9.15439997060119e-5,0.691538652,1932
1,5-7,unsat,0.0,0.0,0.779015188,2263
1,5-8,unsat,0.0,0.0,1.493943692,4730
