property,network,result,lower_bound,upper_bound,time,steps
1,1-1,unsat,0.0,0.0,0.118440204,104
1,1-2,unsat,0.0,0.0,0.085074228,86
1,1-3,unsat,0.0,0.0,0.09029634,134
1,1-4,unsat,0.0,0.0,0.062125837,74
1,1-5,unsat,0.0,0.0,0.030105856,60
1,1-6,unsat,0.0,0.0,0.051720841,58
1,1-7,unsat,0.0,0.0,0.02699143,34
1,1-8,unsat,0.0,0.0,0.027352634,19
1,1-9,unsat,0.0,0.0,0.0137809,13
1,2-1,unsat,0.0,0.0,0.130335269,99
1,2-2,unsat,0.0,0.0,0.221124705,388
1,2-3,unsat,0.0,0.0,0.087043632,147
1,2-4,unsat,0.0,0.0,0.070318815,124
1,2-5,unsat,0.0,0.0,0.478578612,1025
1,2-6,unsat,0.0,0.0,0.251158407,539
1,2-7,unsat,0.0,0.0,1.74035786,4569
1,2-8,unsat,0.0,0.0,3.786048169,11164
1,2-9,unsat,0.0,0.0,3.888276767,9845
1,3-1,unsat,0.0,0.0,0.19224464,465
1,3-2,unsat,0.0,0.0,0.10737382,209
1,3-3,unsat,0.0,0.0,0.148075467,262
1,3-4,unsat,0.0,0.0,0.088654606,196
1,3-5,unsat,0.0,0.0,0.528643722,1470
1,3-6,unsat,0.0,0.0,0.860749907,2302
1,3-7,unsat,0.0,0.0,1.030493602,2812
1,3-8,unsat,0.0,0.0,1.174538217,3388
1,3-9,unsat,0.0,2.411399427693084e-5,3.641031951,12074
1,4-1,unsat,0.0,0.0,0.31223266,691
1,4-2,unsat,0.0,0.0,0.137880854,251
1,4-3,unsat,0.0,0.0,0.116625433,233
1,4-4,unsat,0.0,0.0,0.073221861,140
1,4-5,unsat,0.0,0.0,0.224524683,473
1,4-6,unsat,0.0,0.0,1.602098016,4098
1,4-7,unsat,0.0,0.0,3.33230509,9335
1,4-8,unsat,0.0,0.0,1.126786561,3004
1,4-9,unsat,0.0,4.921514239253355e-6,7.794692145,23685
1,5-1,unsat,0.0,0.0,0.115703086,168
1,5-2,unsat,0.0,0.0,0.110552247,231
1,5-3,unsat,0.0,0.0,0.054355066,87
1,5-4,unsat,0.0,0.0,0.04807005,85
1,5-5,unsat,0.0,0.0,0.164641216,369
1,5-6,unsat,0.0,9.15439997060119e-5,0.719195749,1932
1,5-7,unsat,0.0,0.0,0.776699841,2263
1,5-8,unsat,0.0,0.0,1.653943489,4730
1,5-9,unsat,0.0,0.0,1.26681034,3167
2,1-1,unsat,1.0,1.0,45.754962028,8597
2,1-2,sat,0.0,0.0,21.695489695,9955
2,1-3,sat,0.0,0.0,34.635591279,15832
2,1-4,sat,0.0,0.0,9.982827342,5046
