property,network,result,lower_bound,upper_bound,time,steps
1,1-1,unsat,0.0,0.0,0.120475399,104
1,1-2,unsat,0.0,0.0,0.075400861,86
1,1-3,unsat,0.0,0.0,0.063550505,134
1,1-4,unsat,0.0,0.0,0.02989006,74
1,1-5,unsat,0.0,0.0,0.033035101,60
1,1-6,unsat,0.0,0.0,0.042947557,58
1,1-7,unsat,0.0,0.0,0.017005234,34
1,1-8,unsat,0.0,0.0,0.010800618,19
1,1-9,unsat,0.0,0.0,0.00860398,13
1,2-1,unsat,0.0,0.0,0.049217484,99
1,2-2,unsat,0.0,0.0,0.167268554,388
1,2-3,unsat,0.0,0.0,0.062994613,147
1,2-4,unsat,0.0,0.0,0.051073238,124
1,2-5,unsat,0.0,0.0,0.392430993,1025
1,2-6,unsat,0.0,0.0,0.212442846,539
1,2-7,unsat,0.0,0.0,1.633629886,4569
1,2-8,unsat,0.0,0.0,3.621152508,11164
1,2-9,unsat,0.0,0.0,3.30156002,9845
1,3-1,unsat,0.0,0.0,0.192313973,465
1,3-2,unsat,0.0,0.0,0.093569494,209
1,3-3,unsat,0.0,0.0,0.108212109,262
1,3-4,unsat,0.0,0.0,0.074686233,196
1,3-5,unsat,0.0,0.0,0.528169694,1470
1,3-6,unsat,0.0,0.0,0.848187472,2302
1,3-7,unsat,0.0,0.0,0.987614173,2812
1,3-8,unsat,0.0,0.0,1.138321935,3388
1,3-9,unsat,0.0,2.411399427693084e-5,3.579642858,12074
1,4-1,unsat,0.0,0.0,0.275505265,691
1,4-2,unsat,0.0,0.0,0.115816186,251
1,4-3,unsat,0.0,0.0,0.098201874,233
1,4-4,unsat,0.0,0.0,0.055594076,140
1,4-5,unsat,0.0,0.0,0.174359656,473
1,4-6,unsat,0.0,0.0,1.538134019,4098
1,4-7,unsat,0.0,0.0,2.954139816,9335
1,4-8,unsat,0.0,0.0,0.997781726,3004
1,4-9,unsat,0.0,4.921514239253355e-6,6.925379174,23685
1,5-1,unsat,0.0,0.0,0.095390485,168
1,5-2,unsat,0.0,0.0,0.132530553,231
1,5-3,unsat,0.0,0.0,0.044867135,87
1,5-4,unsat,0.0,0.0,0.049797211,85
1,5-5,unsat,0.0,0.0,0.161150756,369
