property,network_1,network_2,marabou result,marabou_time,nnenum_time,eran_time,priority_time_stopfreq1,priority_time_stopfreq5,priority_time_stopfreq10
1,1,1,unsat,13.499243,3.768410366,7.86129427,0.117857139,0.073758836,0.146955396
1,1,2,unsat,16.568695,5.337064914,7.47118926,0.059354764,0.05509011,0.072969197
1,1,3,unsat,40.557016,6.873854276,13.20794845,0.089806629,0.067381695,0.078927093
1,1,4,unsat,23.25864,7.652519643,11.99237466,0.038390623,0.038981602,0.052889687
1,1,5,unsat,10.40632,5.439979855,8.423292398,0.033094892,0.026353399,0.028736135
1,1,6,unsat,11.394841,19.26710578,8.280251265,0.037645106,0.037818539,0.054107167
1,1,7,unsat,8.06522,5.310614225,8.581017733,0.017734286,0.018057822,0.027366515
1,1,8,unsat,5.030746,9.842032302,8.080854177,0.018176782,0.018017942,0.016127209
1,1,9,unsat,2.990244,4.568073399,8.579264641,0.008835219,0.009050834,0.027223677
1,2,1,unsat,19.988008,13.28475439,8.48153758,0.050604205,0.048695518,0.081072232
1,2,2,unsat,52.065008,30.44673819,21.70153904,0.193470363,0.17026761,0.29198306
1,2,3,unsat,36.521368,14.46156171,9.439763308,0.062423596,0.063811937,0.087410425
1,2,4,unsat,23.383024,6.060310461,8.285609722,0.051133202,0.04463397,0.050331106
1,2,5,unsat,103.783,38.86632947,61.2161808,0.436492216,0.424970581,0.440766833
1,2,6,unsat,115.54912,19.01830221,33.14182472,0.244137501,0.219622185,0.23377407
1,2,7,unsat,565.02272,43.33635618,109.7651181,1.762211418,1.587092734,1.791085641
1,2,8,unsat,522.668096,38.25023033,97.59552813,3.919481286,4.057723591,4.039437492
1,2,9,unsat,584.505984,59.74246116,120.4499447,3.468716468,3.377820983,3.634889079
1,3,1,unsat,29.267934,17.42732197,14.38020706,0.196505005,0.193027908,0.202361382
1,3,2,unsat,33.44637,9.652073834,19.10421371,0.092728839,0.082944024,0.088524427
1,3,3,unsat,27.726276,17.21033811,10.57828689,0.119068576,0.114057355,0.122918392
1,3,4,unsat,18.674936,9.202549692,8.872974873,0.078319062,0.07534854,0.079178224
1,3,5,unsat,65.084288,19.77508362,26.49876952,0.570783855,0.526509175,0.579216737
1,3,6,unsat,251.33008,56.4698618,80.81830049,0.969192866,0.903474553,0.948240428
1,3,7,unsat,361.538592,48.26824793,91.68728876,1.095119247,1.586648547,1.709709437
1,3,8,unsat,266.327392,42.95047418,77.54361796,1.274520352,1.031667784,1.150233477
1,3,9,unsat,830.502144,35.99471419,133.1142604,3.971298691,3.169889739,3.604970757
1,4,1,unsat,67.27216,29.3404938,41.74930167,0.303240303,0.24452893,0.283580349
1,4,2,unsat,33.728608,22.96679038,11.48200035,0.125989702,0.10966764,0.126434867
1,4,3,unsat,29.200068,10.66539571,9.67007184,0.089885754,0.08561169,0.092078142
1,4,4,unsat,28.414848,7.524711341,10.47042632,0.057377183,0.05330349,0.053512555
1,4,5,unsat,71.878264,26.78205896,30.31549954,0.188787371,0.164071731,0.192170793
1,4,6,unsat,818.494144,84.82742324,166.1187584,1.639428282,1.383629818,1.611694065
