property,network_1,network_2,eager_time,noneager_time,obtuse_polytope_time,virtual_best,,,,,,,
1,1,1,0.112731591,0.118440204,0.120475399,0.112731591,,,,,,,
1,1,2,0.081848097,0.085074228,0.075400861,0.075400861,,,,,,,priority
1,1,3,0.082223579,0.09029634,0.063550505,0.063550505,,,,,,,41.57340483
1,1,4,0.041063247,0.062125837,0.02989006,0.02989006,,,,,,,
1,1,5,0.041181912,0.030105856,0.033035101,0.030105856,,,,,,,
1,1,6,0.037711426,0.051720841,0.042947557,0.037711426,,,,,,,
1,1,7,0.032589776,0.02699143,0.017005234,0.017005234,,,,,,,
1,1,8,0.015250617,0.027352634,0.010800618,0.010800618,,,,,,,
1,1,9,0.011813069,0.0137809,0.00860398,0.00860398,,,,,,,
1,2,1,0.062541152,0.130335269,0.049217484,0.049217484,,,,,,,
1,2,2,0.201622077,0.221124705,0.167268554,0.167268554,,,,,,,
1,2,3,0.087988832,0.087043632,0.062994613,0.062994613,,,,,,,
1,2,4,0.065768418,0.070318815,0.051073238,0.051073238,,,,,,,
1,2,5,0.427779571,0.478578612,0.392430993,0.392430993,,,,,,,
1,2,6,0.246055496,0.251158407,0.212442846,0.212442846,,,,,,,
1,2,7,1.698611968,1.74035786,1.633629886,1.633629886,,,,,,,
1,2,8,3.888894889,3.786048169,3.621152508,3.621152508,,,,,,,
1,2,9,3.373233149,3.888276767,3.30156002,3.30156002,,,,,,,
1,3,1,0.213068076,0.19224464,0.192313973,0.19224464,,,,,,,
1,3,2,0.119304652,0.10737382,0.093569494,0.093569494,,,,,,,
1,3,3,0.131443703,0.148075467,0.108212109,0.108212109,,,,,,,
1,3,4,0.095025715,0.088654606,0.074686233,0.074686233,,,,,,,
1,3,5,0.560091335,0.528643722,0.528169694,0.528169694,,,,,,,
1,3,6,0.921413038,0.860749907,0.848187472,0.848187472,,,,,,,
1,3,7,1.065776741,1.030493602,0.987614173,0.987614173,,,,,,,
1,3,8,1.295944854,1.174538217,1.138321935,1.138321935,,,,,,,
1,3,9,4.006272385,3.641031951,3.579642858,3.579642858,,,,,,,
1,4,1,0.293535061,0.31223266,0.275505265,0.275505265,,,,,,,
1,4,2,0.150564598,0.137880854,0.115816186,0.115816186,,,,,,,
1,4,3,0.119420518,0.116625433,0.098201874,0.098201874,,,,,,,
1,4,4,0.070549555,0.073221861,0.055594076,0.055594076,,,,,,,
1,4,5,0.218373337,0.224524683,0.174359656,0.174359656,,,,,,,
1,4,6,1.539136366,1.602098016,1.538134019,1.538134019,,,,,,,
1,4,7,3.092055487,3.33230509,2.954139816,2.954139816,,,,,,,
1,4,8,1.13479985,1.126786561,0.997781726,0.997781726,,,,,,,
1,4,9,7.496888163,7.794692145,6.925379174,6.925379174,,,,,,,
1,5,1,0.096923367,0.115703086,0.095390485,0.095390485,,,,,,,
1,5,2,0.123672153,0.110552247,0.132530553,0.110552247,,,,,,,
1,5,3,0.05261962,0.054355066,0.044867135,0.044867135,,,,,,,
1,5,4,0.042779098,0.04807005,0.049797211,0.042779098,,,,,,,
1,5,5,0.170951798,0.164641216,0.161150756,0.161150756,,,,,,,
1,5,6,0.691538652,0.719195749,0.730369979,0.691538652,,,,,,,
1,5,7,0.779015188,0.776699841,0.763021228,0.763021228,,,,,,,
1,5,8,1.493943692,1.653943489,1.501569332,1.493943692,,,,,,,
1,5,9,1.23247699,1.26681034,1.159022369,1.159022369,,,,,,,
2,1,1,28.01981027,45.75496203,56.37699084,28.01981027,,,,,,,
2,1,2,29.49955856,21.6954897,2.32072186,2.32072186,,,,,,,
2,1,3,12.88193189,34.63559128,32.74756737,12.88193189,,,,,,,
2,1,4,0.372261882,9.982827342,0.939400455,0.372261882,,,,,,,
2,1,5,164.0251422,18.63945082,350.6878607,18.63945082,,,,,,,
2,1,6,1.536355277,2.434284007,6.934187777,1.536355277,,,,,,,
2,1,7,6.064322764,36.888245,18.63727236,6.064322764,,,,,,,
2,1,8,2.570180022,24.56929609,5.396112303,2.570180022,,,,,,,
2,1,9,4.112097549,38.48990245,6.173905173,4.112097549,,,,,,,
2,2,1,0.017602595,0.483973522,0.031134275,0.017602595,,,,,,,
2,2,2,0.014685633,0.51447455,0.01562312,0.014685633,,,,,,,
2,2,3,0.000501171,0.016787726,0.000459681,0.000459681,,,,,,,
2,2,4,0.012131504,0.39721265,0.012069627,0.012069627,,,,,,,
2,2,5,0.000504034,0.015753868,0.000462576,0.000462576,,,,,,,
2,2,6,0.000477299,0.016610977,0.000494355,0.000477299,,,,,,,
2,2,7,0.000542799,0.014842648,0.000494134,0.000494134,,,,,,,
2,2,8,0.000508121,0.015036068,0.000509327,0.000508121,,,,,,,
2,2,9,1.296493667,15.95328108,5.977193089,1.296493667,,,,,,,
2,3,1,0.00048611,0.015401321,0.000474624,0.000474624,,,,,,,
2,3,2,0.015105684,0.475758373,0.012583849,0.012583849,,,,,,,
2,3,3,349.6304991,2268.608849,365.6587444,349.6304991,,,,,,,
2,3,4,0.000467957,0.014385872,0.000498626,0.000467957,,,,,,,
2,3,5,0.000463491,0.014617891,0.000506845,0.000463491,,,,,,,
2,3,6,0.35638134,1.186908209,0.029698578,0.029698578,,,,,,,
2,3,7,0.019156739,0.686100071,0.022888878,0.019156739,,,,,,,
2,3,8,0.017804908,0.498506975,0.021254955,0.017804908,,,,,,,
2,3,9,0.000501326,0.011507869,0.000549312,0.000501326,,,,,,,
2,4,1,0.012686515,0.393541725,0.014713619,0.012686515,,,,,,,
2,4,2,386.7775788,2558.767866,372.935967,372.935967,,,,,,,
2,4,3,0.000492664,0.013478243,0.000505914,0.000492664,,,,,,,
2,4,4,0.333280776,0.403606464,0.016177886,0.016177886,,,,,,,
2,4,5,0.000512483,0.013189482,0.000492356,0.000492356,,,,,,,
2,4,6,0.000525045,0.013082306,0.000518538,0.000518538,,,,,,,
2,4,7,0.000499864,0.013015933,0.000549391,0.000499864,,,,,,,
2,4,8,0.000546698,0.013497625,0.000518333,0.000518333,,,,,,,
2,4,9,0.210903084,61.31996711,0.574989038,0.210903084,,,,,,,
2,5,1,0.00082286,0.01668241,0.000958853,0.00082286,,,,,,,
2,5,2,0.000889284,0.014646528,0.000884502,0.000884502,,,,,,,
2,5,3,326.7563324,1955.765887,49.16159256,49.16159256,,,,,,,
2,5,4,0.000924157,0.017524835,0.000940481,0.000924157,,,,,,,
2,5,5,0.000923496,0.020247495,0.00101094,0.000923496,,,,,,,
2,5,6,0.000704872,0.021958422,0.001091716,0.000704872,,,,,,,
2,5,7,0.000970999,0.020230991,0.001106173,0.000970999,,,,,,,
2,5,8,0.00107126,0.020728475,0.001118003,0.00107126,,,,,,,
2,5,9,0.001082034,0.022175257,0.001084443,0.001082034,,,,,,,
3,1,1,38.61821864,27.67915059,150.7532983,27.67915059,,,,,,,
3,1,2,0.625548781,1.785187566,2.419904384,0.625548781,,,,,,,
3,1,3,353.761529,1910.764234,366.296453,353.761529,,,,,,,
3,1,4,0.009315309,0.043800434,0.02509085,0.009315309,,,,,,,
3,1,5,0.006335027,0.068262505,0.047058036,0.006335027,,,,,,,
3,1,6,0.000502947,0.004398948,0.001090314,0.000502947,,,,,,,
3,1,7,0.000174991,0.002964951,0.000178566,0.000174991,,,,,,,
3,1,8,0.000156061,0.002529446,0.000174677,0.000156061,,,,,,,
3,1,9,0.000152969,0.002078485,0.000165022,0.000152969,,,,,,,
