property,network,result,lower_bound,upper_bound,time,steps
1,1-1,UNSAT,0.0,0.0,3.941618468,200
1,1-2,UNSAT,0.0,0.0,0.079944545,100
1,1-3,UNSAT,0.0,0.0,0.142115408,200
1,1-4,UNSAT,0.0,0.0,0.054010382,100
1,1-5,UNSAT,0.0,0.0,0.05477346,100
1,1-6,UNSAT,0.0,0.0,0.063899615,100
1,1-7,UNSAT,0.0,0.0,0.045241939,100
1,1-8,UNSAT,0.0,0.0,0.031704371,100
1,1-9,UNSAT,0.0,0.0,0.04217943,100
1,2-1,UNSAT,0.0,0.0,0.062311907,100
1,2-2,UNSAT,0.0,0.0,0.278925565,400
1,2-3,UNSAT,0.0,0.0,0.111112623,200
1,2-4,UNSAT,0.0,0.0,0.096111583,200
1,2-5,UNSAT,0.0,0.0,0.586219506,1100
1,2-6,UNSAT,0.0,0.0,0.395192581,600
1,2-7,UNSAT,0.0,0.0,1.938989017,4600
1,2-8,UNSAT,0.0,0.0,4.399874218,11200
1,2-9,UNSAT,0.0,0.0,4.884450003,9900
1,3-1,UNSAT,0.0,0.0,0.315014746,500
1,3-2,UNSAT,0.0,0.0,0.130933059,300
1,3-3,UNSAT,0.0,0.0,0.185787512,300
1,3-4,UNSAT,0.0,0.0,0.124791141,200
1,3-5,UNSAT,0.0,0.0,0.744585876,1500
1,3-6,UNSAT,0.0,0.0,1.159907069,2400
1,3-7,UNSAT,0.0,0.0,1.216712904,2900
1,3-8,UNSAT,0.0,0.0,1.617452119,3400
1,3-9,UNSAT,0.0,0.0,5.2112694,12100
1,4-1,UNSAT,0.0,0.0,0.424804732,700
1,4-2,UNSAT,0.0,0.0,0.191592094,300
1,4-3,UNSAT,0.0,0.0,0.141892312,300
1,4-4,UNSAT,0.0,0.0,0.080333459,200
1,4-5,UNSAT,0.0,0.0,0.240651352,500
1,4-6,UNSAT,0.0,0.0,1.985556539,4100
1,4-7,UNSAT,0.0,0.0,3.843931979,9400
1,4-8,UNSAT,0.0,0.0,1.430825918,3100
1,4-9,UNSAT,0.0,0.0,10.292370553,23700
1,5-1,UNSAT,0.0,0.0,0.093269301,200
1,5-2,UNSAT,0.0,0.0,0.120640771,300
