property,network,result,lower_bound,upper_bound,time,steps
1,1-1,UNSAT,0.0,0.0,0.117519077,200
1,1-2,UNSAT,0.0,0.0,0.077868586,100
1,1-3,UNSAT,0.0,0.0,0.120698137,200
1,1-4,UNSAT,0.0,0.0,0.054972077,100
1,1-5,UNSAT,0.0,0.0,0.090076152,100
1,1-6,UNSAT,0.0,0.0,0.082782105,100
1,1-7,UNSAT,0.0,0.0,0.040905509,100
1,1-8,UNSAT,0.0,0.0,0.046097717,100
1,1-9,UNSAT,0.0,0.0,0.038944118,100
1,2-1,UNSAT,0.0,0.0,0.086345968,100
1,2-2,UNSAT,0.0,0.0,0.285142264,400
1,2-3,UNSAT,0.0,0.0,0.12114716,200
1,2-4,UNSAT,0.0,0.0,0.094885472,200
1,2-5,UNSAT,0.0,0.0,0.680320524,1100
1,2-6,UNSAT,0.0,0.0,0.360510251,600
1,2-7,UNSAT,0.0,0.0,2.264767643,4600
1,2-8,UNSAT,0.0,0.0,4.859123316,11200
1,2-9,UNSAT,0.0,0.0,3.935403035,9900
1,3-1,UNSAT,0.0,0.0,0.230735419,500
1,3-2,UNSAT,0.0,0.0,0.119001312,300
1,3-3,UNSAT,0.0,0.0,0.154482816,300
1,3-4,UNSAT,0.0,0.0,0.098012392,200
1,3-5,UNSAT,0.0,0.0,0.667605319,1500
1,3-6,UNSAT,0.0,0.0,1.235524202,2400
1,3-7,UNSAT,0.0,0.0,1.432219891,2900
1,3-8,UNSAT,0.0,0.0,1.770075253,3400
1,3-9,UNSAT,0.0,0.0,4.663251569,12100
1,4-1,UNSAT,0.0,0.0,0.328502752,700
1,4-2,UNSAT,0.0,0.0,0.154400455,300
1,4-3,UNSAT,0.0,0.0,0.113741731,300
1,4-4,UNSAT,0.0,0.0,0.076723117,200
1,4-5,UNSAT,0.0,0.0,0.209663187,500
1,4-6,UNSAT,0.0,0.0,1.827853896,4100
1,4-7,UNSAT,0.0,0.0,3.763451969,9400
1,4-8,UNSAT,0.0,0.0,1.450219651,3100
1,4-9,UNSAT,0.0,0.0,9.963204276,23700
1,5-1,UNSAT,0.0,0.0,0.121490684,200
1,5-2,UNSAT,0.0,0.0,0.147294295,300
1,5-3,UNSAT,0.0,0.0,0.070283542,100
1,5-4,UNSAT,0.0,0.0,0.046663185,100
1,5-5,UNSAT,0.0,0.0,0.231665735,400
1,5-6,UNSAT,0.0,0.0,1.049459789,2000
1,5-7,UNSAT,0.0,0.0,1.136736462,2300
1,5-8,UNSAT,0.0,0.0,2.283523296,4800
1,5-9,UNSAT,0.0,0.0,1.664360962,3200
2,1-1,UNSAT,1.0,1.0,383.855742828,8597
2,1-2,SAT,0.0,0.0,350.661101219,10000
2,1-3,SAT,0.0,0.0,605.103692447,16000
2,1-4,SAT,0.0,0.0,186.757307368,5300
2,1-5,SAT,0.0,0.0,333.570631233,7300
2,1-6,SAT,0.0,0.0,36.571996135,600
2,1-7,UNSAT,1.0,1.0,465.835392745,14602
2,1-8,UNSAT,1.0,1.0,325.931154677,9414
2,1-9,UNSAT,1.0,1.0,556.928336516,16569
2,2-1,SAT,0.0,0.0,28.915689525,600
2,2-2,SAT,0.0,0.0,21.037813552,100
2,2-3,SAT,0.0,0.0,19.353364789,400
2,2-4,SAT,0.0,0.0,4.143598958,100
2,2-5,SAT,0.0,0.0,9.16520353,100
2,2-6,SAT,0.0,0.0,9.906687386,100
2,2-7,SAT,0.0,0.0,10.540285103,100
2,2-8,SAT,0.0,0.0,9.13513544,100
2,2-9,SAT,0.0,0.0,273.050552613,5900
2,3-1,SAT,0.0,0.0,15.02553325,200
2,3-2,SAT,0.0,0.0,108.052669909,2400
2,3-3,Inconclusive,0.0,1.0,1738.284156737,50000
2,3-4,SAT,0.0,0.0,8.059076529,200
2,3-5,SAT,0.0,0.0,74.567643831,1400
2,3-6,SAT,0.0,0.0,14.247909027,100
2,3-7,SAT,0.0,0.0,9.862850939,100
2,3-8,SAT,0.0,0.0,4.229902311,100
2,3-9,SAT,0.0,0.0,4.900292228,100
2,4-1,SAT,0.0,0.0,4.062726789,100
2,4-2,Inconclusive,0.0,1.0,1683.726173626,50000
2,4-3,SAT,0.0,0.0,4.466900394,100
2,4-4,SAT,0.0,0.0,8.340913131,100
2,4-5,SAT,0.0,0.0,5.624637966,100
2,4-6,SAT,0.0,0.0,4.120866426,100
2,4-7,SAT,0.0,0.0,4.283097752,100
2,4-8,SAT,0.0,0.0,4.35658694,100
2,4-9,SAT,0.0,0.0,1219.377985396,33400
2,5-1,SAT,0.0,0.0,7.655345877,200
2,5-2,SAT,0.0,0.0,94.707241889,1700
2,5-3,Inconclusive,0.0,1.0,1793.360908192,50000
2,5-4,SAT,0.0,0.0,15.215357556,100
2,5-5,SAT,0.0,0.0,4.688656886,100
2,5-6,SAT,0.0,0.0,4.802760665,100
2,5-7,SAT,0.0,0.0,4.719623509,100
2,5-8,SAT,0.0,0.0,4.457785264,100
2,5-9,SAT,0.0,0.0,4.82617456,100
3,1-1,UNSAT,1.0,1.0,342.745054597,5812
3,1-2,UNSAT,1.0,1.0,19.141971717,430
3,1-3,Inconclusive,0.0,1.0,2006.141644433,50000
3,1-4,UNSAT,1.0,Inf,6.372465664,9
3,1-5,UNSAT,1.0,Inf,0.363151247,20
3,1-6,UNSAT,1.0,Inf,0.017763797,2
3,1-7,SAT,0.0,0.0,3.444786686,100
3,1-8,SAT,0.0,0.0,7.418749452,100
3,1-9,SAT,0.0,0.0,4.32125513,100
3,2-1,UNSAT,1.0,1.0,5.678710857,149
3,2-2,UNSAT,1.0,1.0,23.710027509,561
3,2-3,UNSAT,1.0,1.0,11.202431784,279
3,2-4,UNSAT,1.0,Inf,0.015518308,2
3,2-5,UNSAT,1.0,Inf,0.086818362,6
3,2-6,UNSAT,1.0,Inf,0.035639775,3
3,2-7,UNSAT,1.0,Inf,0.073274362,6
3,2-8,UNSAT,1.0,Inf,0.100745722,8
3,2-9,UNSAT,1.0,Inf,0.000320304,1
3,3-1,UNSAT,1.0,Inf,0.909515222,22
3,3-2,UNSAT,1.0,1.0,85.26653112,2047
3,3-3,UNSAT,1.0,1.0,16.212999568,483
3,3-4,UNSAT,1.0,Inf,0.293338392,12
3,3-5,UNSAT,1.0,Inf,0.057084245,4
3,3-6,UNSAT,1.0,Inf,0.551113995,12
3,3-7,UNSAT,1.0,Inf,0.021625427,2
3,3-8,UNSAT,1.0,Inf,0.118773369,8
3,3-9,UNSAT,1.0,Inf,0.123259986,9
3,4-1,UNSAT,1.0,1.0,19.884320079,588
3,4-2,UNSAT,1.0,1.0,59.454251686,1626
3,4-3,UNSAT,1.0,1.0,28.413115659,462
3,4-4,UNSAT,1.0,Inf,0.053013649,4
3,4-5,UNSAT,1.0,Inf,0.035365037,4
3,4-6,UNSAT,1.0,Inf,0.914174636,24
3,4-7,UNSAT,1.0,Inf,0.148471394,10
3,4-8,UNSAT,1.0,Inf,0.070237746,5
3,4-9,UNSAT,1.0,Inf,0.151661933,9
3,5-1,UNSAT,1.0,1.0,22.763609362,512
3,5-2,UNSAT,1.0,Inf,3.799414012,91
3,5-3,UNSAT,1.0,Inf,0.85547788,17
3,5-4,UNSAT,1.0,Inf,0.082129403,4
3,5-5,UNSAT,1.0,Inf,0.166985914,9
3,5-6,UNSAT,1.0,Inf,0.151022922,10
3,5-7,UNSAT,1.0,Inf,0.000369802,1
3,5-8,UNSAT,1.0,Inf,0.246404844,17
3,5-9,UNSAT,1.0,Inf,0.477033268,10
4,1-1,UNSAT,1.0,1.0,17.250763109,297
4,1-2,UNSAT,1.0,1.0,24.564567273,256
4,1-3,UNSAT,1.0,1.0,195.035327929,6381
4,1-4,UNSAT,1.0,Inf,0.958177512,8
4,1-5,UNSAT,1.0,1.0,14.559988345,188
4,1-6,UNSAT,1.0,Inf,0.353276685,12
4,1-7,SAT,0.0,0.0,7.682296294,100
4,1-8,SAT,0.0,0.0,9.449249639,100
4,1-9,SAT,0.0,0.0,2.321499215,100
4,2-1,UNSAT,1.0,Inf,2.419189216,15
4,2-2,UNSAT,1.0,Inf,0.270196416,12
4,2-3,UNSAT,1.0,Inf,0.099057732,3
4,2-4,UNSAT,1.0,Inf,0.051781614,3
4,2-5,UNSAT,1.0,Inf,0.289916507,18
4,2-6,UNSAT,1.0,Inf,0.563506656,8
4,2-7,UNSAT,1.0,Inf,0.081256182,6
4,2-8,UNSAT,1.0,Inf,0.258833487,16
4,2-9,UNSAT,1.0,Inf,0.015389682,2
4,3-1,UNSAT,1.0,Inf,0.189528699,8
4,3-2,UNSAT,1.0,Inf,0.170759622,8
4,3-3,UNSAT,1.0,Inf,0.788059011,29
4,3-4,UNSAT,1.0,Inf,0.047011166,3
4,3-5,UNSAT,1.0,Inf,0.205953657,13
4,3-6,UNSAT,1.0,Inf,0.087043401,5
4,3-7,UNSAT,1.0,Inf,0.04547292,4
4,3-8,UNSAT,1.0,Inf,0.132610992,7
4,3-9,UNSAT,1.0,Inf,0.183970298,10
4,4-1,UNSAT,1.0,Inf,0.016226128,1
