property,network,result,lower_bound,upper_bound,time,steps
1,1-1,UNSAT,0.0,0.0,0.155639151,200
1,1-2,UNSAT,0.0,0.0,0.061789606,100
1,1-3,UNSAT,0.0,0.0,0.090920373,200
1,1-4,UNSAT,0.0,0.0,0.050720529,100
1,1-5,UNSAT,0.0,0.0,0.045749574,100
1,1-6,UNSAT,0.0,0.0,0.048745551,100
1,1-7,UNSAT,0.0,0.0,0.042905466,100
1,1-8,UNSAT,0.0,0.0,0.037075204,100
1,1-9,UNSAT,0.0,0.0,0.028694947,100
1,2-1,UNSAT,0.0,0.0,0.060539334,100
1,2-2,UNSAT,0.0,0.0,0.194246821,400
1,2-3,UNSAT,0.0,0.0,0.086089509,200
1,2-4,UNSAT,0.0,0.0,0.063376876,200
1,2-5,UNSAT,0.0,0.0,0.444477042,1100
1,2-6,UNSAT,0.0,0.0,0.264292228,600
1,2-7,UNSAT,0.0,0.0,1.541014285,4600
1,2-8,UNSAT,0.0,0.0,3.474042217,11200
1,2-9,UNSAT,0.0,0.0,3.143235822,9900
1,3-1,UNSAT,0.0,0.0,0.21505785,500
1,3-2,UNSAT,0.0,0.0,0.130425957,300
1,3-3,UNSAT,0.0,0.0,0.150000972,300
1,3-4,UNSAT,0.0,0.0,0.116786108,200
1,3-5,UNSAT,0.0,0.0,0.529744442,1500
1,3-6,UNSAT,0.0,0.0,0.951091617,2400
1,3-7,UNSAT,0.0,0.0,0.981785089,2900
1,3-8,UNSAT,0.0,0.0,1.169740944,3400
1,3-9,UNSAT,0.0,0.0,3.422888803,12100
1,4-1,UNSAT,0.0,0.0,0.262058098,700
1,4-2,UNSAT,0.0,0.0,0.163949594,300
1,4-3,UNSAT,0.0,0.0,0.126600501,300
1,4-4,UNSAT,0.0,0.0,0.060942822,200
1,4-5,UNSAT,0.0,0.0,0.176859645,500
1,4-6,UNSAT,0.0,0.0,1.537326013,4100
1,4-7,UNSAT,0.0,0.0,3.039436541,9400
1,4-8,UNSAT,0.0,0.0,1.035407878,3100
1,4-9,UNSAT,0.0,0.0,7.665484012,23700
1,5-1,UNSAT,0.0,0.0,0.097199383,200
1,5-2,UNSAT,0.0,0.0,0.12020159,300
1,5-3,UNSAT,0.0,0.0,0.050282336,100
1,5-4,UNSAT,0.0,0.0,0.046028841,100
1,5-5,UNSAT,0.0,0.0,0.156952251,400
1,5-6,UNSAT,0.0,0.0,0.645131059,2000
1,5-7,UNSAT,0.0,0.0,0.768125984,2300
1,5-8,UNSAT,0.0,0.0,1.457867997,4800
1,5-9,UNSAT,0.0,0.0,1.098764076,3200
2,1-1,unsat,1.0,1.0,243.600738444,8597
2,1-2,sat,0.0,0.0,259.891739684,10000
2,1-3,sat,0.0,0.0,419.250350845,16000
2,1-4,sat,0.0,0.0,144.505542482,5300
2,1-5,sat,0.0,0.0,220.01666957,7300
2,1-6,sat,0.0,0.0,22.341628706,600
2,1-7,unsat,1.0,1.0,355.111098535,14602
2,1-8,unsat,1.0,1.0,207.294798783,9414
2,1-9,unsat,1.0,1.0,353.246506142,16569
2,2-1,sat,0.0,0.0,20.958674461,600
2,2-2,sat,0.0,0.0,4.50287656,100
2,2-3,sat,0.0,0.0,14.903515556,400
2,2-4,sat,0.0,0.0,4.077425147,100
2,2-5,sat,0.0,0.0,4.705309441,100
2,2-6,sat,0.0,0.0,4.575727514,100
2,2-7,sat,0.0,0.0,5.088654667,100
2,2-8,sat,0.0,0.0,3.653170884,100
2,2-9,sat,0.0,0.0,178.15004751,5900
2,3-1,sat,0.0,0.0,8.906406736,200
2,3-2,sat,0.0,0.0,77.717144056,2400
2,3-3,inconclusive,0.0,1.0,1182.662883872,50000
2,3-4,sat,0.0,0.0,7.307983234,200
2,3-5,sat,0.0,0.0,49.77712637,1400
2,3-6,sat,0.0,0.0,4.539165246,100
2,3-7,sat,0.0,0.0,4.837329363,100
2,3-8,sat,0.0,0.0,4.111429597,100
2,3-9,sat,0.0,0.0,4.87954319,100
2,4-1,sat,0.0,0.0,4.061532776,100
2,4-2,inconclusive,0.0,1.0,1113.580493232,50000
2,4-3,sat,0.0,0.0,4.516529904,100
2,4-4,sat,0.0,0.0,3.677501177,100
2,4-5,sat,0.0,0.0,5.144403444,100
2,4-6,sat,0.0,0.0,3.938409305,100
2,4-7,sat,0.0,0.0,4.33202758,100
2,4-8,sat,0.0,0.0,5.20449298,100
2,4-9,sat,0.0,0.0,771.046173588,33400
2,5-1,sat,0.0,0.0,7.470586075,200
2,5-2,sat,0.0,0.0,57.362116179,1700
2,5-3,inconclusive,0.0,1.0,1214.204270036,50000
2,5-4,sat,0.0,0.0,5.892029911,100
2,5-5,sat,0.0,0.0,4.359635279,100
2,5-6,sat,0.0,0.0,5.213519186,100
2,5-7,sat,0.0,0.0,4.26977414,100
2,5-8,sat,0.0,0.0,4.533134104,100
2,5-9,sat,0.0,0.0,5.208751573,100
3,1-1,unsat,1.0,1.0,242.038227723,5812
3,1-2,unsat,1.0,1.0,14.218890393,430
3,1-3,inconclusive,0.0,1.0,1431.550740812,50000
3,1-4,unsat,1.0,Inf,1.126851371,9
3,1-5,unsat,1.0,Inf,0.330681583,20
3,1-6,unsat,1.0,Inf,0.019913933,2
3,1-7,sat,0.0,0.0,4.025065376,100
3,1-8,sat,0.0,0.0,3.600895858,100
3,1-9,sat,0.0,0.0,3.651146026,100
3,2-1,unsat,1.0,1.0,4.662121429,149
3,2-2,unsat,1.0,1.0,13.534859096,561
3,2-3,unsat,1.0,1.0,5.941882652,279
3,2-4,unsat,1.0,Inf,0.016426629,2
3,2-5,unsat,1.0,Inf,0.098662265,6
3,2-6,unsat,1.0,Inf,0.038783499,3
3,2-7,unsat,1.0,Inf,0.085216693,6
3,2-8,unsat,1.0,Inf,0.110992741,8
3,2-9,unsat,1.0,Inf,0.000284916,1
3,3-1,unsat,1.0,Inf,0.649114363,22
3,3-2,unsat,1.0,1.0,43.079809594,2047
3,3-3,unsat,1.0,1.0,9.779510227,483
3,3-4,unsat,1.0,Inf,0.439467148,12
3,3-5,unsat,1.0,Inf,0.049698324,4
3,3-6,unsat,1.0,Inf,0.14596093,12
3,3-7,unsat,1.0,Inf,0.01179536,2
3,3-8,unsat,1.0,Inf,0.308252817,8
3,3-9,unsat,1.0,Inf,0.111674379,9
3,4-1,unsat,1.0,1.0,13.830366117,588
3,4-2,unsat,1.0,1.0,35.966875022,1626
3,4-3,unsat,1.0,1.0,12.329072295,462
3,4-4,unsat,1.0,Inf,0.058203263,4
3,4-5,unsat,1.0,Inf,0.036787977,4
3,4-6,unsat,1.0,Inf,0.611071879,24
3,4-7,unsat,1.0,Inf,0.107482991,10
3,4-8,unsat,1.0,Inf,0.04662532,5
3,4-9,unsat,1.0,Inf,0.367953391,9
3,5-1,unsat,1.0,1.0,11.693596184,512
3,5-2,unsat,1.0,Inf,3.445872536,91
3,5-3,unsat,1.0,Inf,0.659573156,17
3,5-4,unsat,1.0,Inf,0.063462281,4
3,5-5,unsat,1.0,Inf,0.173652879,9
3,5-6,unsat,1.0,Inf,0.362413473,10
3,5-7,unsat,1.0,Inf,0.000225079,1
