property,network,result,lower_bound,upper_bound,time,steps
1,1-1,UNSAT,0.0,0.0,0.109529218,120
1,1-2,UNSAT,0.0,0.0,0.041948199,100
1,1-3,UNSAT,0.0,0.0,0.080732063,140
1,1-4,UNSAT,0.0,0.0,0.046753405,80
1,1-5,UNSAT,0.0,0.0,0.03611527,60
1,1-6,UNSAT,0.0,0.0,0.032881633,60
1,1-7,UNSAT,0.0,0.0,0.029916494,40
1,1-8,UNSAT,0.0,0.0,0.011978326,20
1,1-9,UNSAT,0.0,0.0,0.011040588,20
1,2-1,UNSAT,0.0,0.0,0.050125521,100
1,2-2,UNSAT,0.0,0.0,0.182159799,400
1,2-3,UNSAT,0.0,0.0,0.067812666,160
1,2-4,UNSAT,0.0,0.0,0.054946608,140
1,2-5,UNSAT,0.0,0.0,0.411669919,1040
1,2-6,UNSAT,0.0,0.0,0.226458488,540
1,2-7,UNSAT,0.0,0.0,1.74215033,4580
1,2-8,UNSAT,0.0,0.0,3.817251643,11180
1,2-9,UNSAT,0.0,0.0,3.950675535,9860
1,3-1,UNSAT,0.0,0.0,0.221932855,480
1,3-2,UNSAT,0.0,0.0,0.111715394,220
1,3-3,UNSAT,0.0,0.0,0.117287828,280
1,3-4,UNSAT,0.0,0.0,0.090642104,200
1,3-5,UNSAT,0.0,0.0,0.543393142,1480
1,3-6,UNSAT,0.0,0.0,0.919648349,2320
1,3-7,UNSAT,0.0,0.0,1.042581857,2820
1,3-8,UNSAT,0.0,0.0,1.206443271,3400
1,3-9,UNSAT,0.0,0.0,3.702945715,12080
1,4-1,UNSAT,0.0,0.0,0.297112472,700
1,4-2,UNSAT,0.0,0.0,0.145662002,260
1,4-3,UNSAT,0.0,0.0,0.117817615,240
1,4-4,UNSAT,0.0,0.0,0.075190235,140
1,4-5,UNSAT,0.0,0.0,0.214262969,480
1,4-6,UNSAT,0.0,0.0,1.609345347,4100
1,4-7,UNSAT,0.0,0.0,3.224266959,9340
1,4-8,UNSAT,0.0,0.0,1.124564737,3020
1,4-9,UNSAT,0.0,0.0,7.5537938,23700
1,5-1,UNSAT,0.0,0.0,0.109693155,180
1,5-2,UNSAT,0.0,0.0,0.117241468,240
1,5-3,UNSAT,0.0,0.0,0.048980436,100
1,5-4,UNSAT,0.0,0.0,0.051847384,100
1,5-5,UNSAT,0.0,0.0,0.162145203,380
1,5-6,UNSAT,0.0,0.0,0.725959065,1940
1,5-7,UNSAT,0.0,0.0,0.79498937,2280
1,5-8,UNSAT,0.0,0.0,1.573376645,4740
1,5-9,UNSAT,0.0,0.0,1.210079929,3180
2,1-1,unsat,1.0,1.0,234.032932716,8597
2,1-2,sat,0.0,0.0,239.925056685,9980
2,1-3,sat,0.0,0.0,413.521334933,15920
2,1-4,sat,0.0,0.0,134.690598069,5080
2,1-5,sat,0.0,0.0,214.122028079,7160
2,1-6,sat,0.0,0.0,17.3272477,480
2,1-7,unsat,1.0,1.0,358.410139503,14602
2,1-8,unsat,1.0,1.0,208.379976945,9414
2,1-9,unsat,1.0,1.0,356.922834852,16569
2,2-1,sat,0.0,0.0,2.240678554,60
2,2-2,sat,0.0,0.0,2.451992807,40
2,2-3,sat,0.0,0.0,6.109666321,160
2,2-4,sat,0.0,0.0,2.045898921,40
2,2-5,sat,0.0,0.0,1.405272986,20
2,2-6,sat,0.0,0.0,2.196448532,40
2,2-7,sat,0.0,0.0,1.224337047,20
2,2-8,sat,0.0,0.0,1.834217481,40
2,2-9,sat,0.0,0.0,175.523012141,5880
2,3-1,sat,0.0,0.0,6.898417611,140
2,3-2,sat,0.0,0.0,45.791880073,1360
2,3-3,inconclusive,0.0,1.0,1153.769395784,50000
2,3-4,sat,0.0,0.0,4.954845145,140
2,3-5,sat,0.0,0.0,45.926198857,1340
2,3-6,sat,0.0,0.0,3.568053168,80
2,3-7,sat,0.0,0.0,3.06298768,60
2,3-8,sat,0.0,0.0,2.494989664,60
2,3-9,sat,0.0,0.0,2.809299929,40
2,4-1,sat,0.0,0.0,1.973038986,40
2,4-2,inconclusive,0.0,1.0,1097.935026521,50000
2,4-3,sat,0.0,0.0,2.709221329,80
2,4-4,sat,0.0,0.0,3.372204686,100
2,4-5,sat,0.0,0.0,2.569122873,40
2,4-6,sat,0.0,0.0,1.087348974,20
2,4-7,sat,0.0,0.0,1.922297772,40
2,4-8,sat,0.0,0.0,1.717044915,40
2,4-9,sat,0.0,0.0,756.872534426,33380
2,5-1,sat,0.0,0.0,1.979857123,40
2,5-2,sat,0.0,0.0,17.743763088,520
2,5-3,inconclusive,0.0,1.0,1190.882898066,50000
2,5-4,sat,0.0,0.0,5.201326666,100
2,5-5,sat,0.0,0.0,2.161513448,40
2,5-6,sat,0.0,0.0,2.027447116,40
2,5-7,sat,0.0,0.0,1.195195332,20
2,5-8,sat,0.0,0.0,4.090029682,100
2,5-9,sat,0.0,0.0,2.608084874,40
3,1-1,unsat,1.0,1.0,239.377246399,5812
3,1-2,unsat,1.0,1.0,14.194825954,430
3,1-3,inconclusive,0.0,1.0,1427.514893849,50000
3,1-4,unsat,1.0,Inf,0.255632773,9
3,1-5,unsat,1.0,Inf,0.398563162,20
3,1-6,unsat,1.0,Inf,0.020169339,2
3,1-7,sat,0.0,0.0,0.525998683,20
