property,network,result,lower_bound,upper_bound,time,steps
1,1-1,UNSAT,0.0,0.0,0.143319348,120
1,1-2,UNSAT,0.0,0.0,0.03791275,120
1,1-3,UNSAT,0.0,0.0,0.156758567,160
1,1-4,UNSAT,0.0,0.0,0.029025268,80
1,1-5,UNSAT,0.0,0.0,0.037551478,80
1,1-6,UNSAT,0.0,0.0,0.083839491,80
1,1-7,UNSAT,0.0,0.0,0.01537758,40
1,1-8,UNSAT,0.0,0.0,0.017618063,40
1,1-9,UNSAT,0.0,0.0,0.015908903,40
1,2-1,UNSAT,0.0,0.0,0.085810171,120
1,2-2,UNSAT,0.0,0.0,0.199406729,400
1,2-3,UNSAT,0.0,0.0,0.10690307,160
1,2-4,UNSAT,0.0,0.0,0.053611309,160
1,2-5,UNSAT,0.0,0.0,0.544351096,1040
1,2-6,UNSAT,0.0,0.0,0.235446042,560
1,2-7,UNSAT,0.0,0.0,2.002112999,4600
1,2-8,UNSAT,0.0,0.0,4.322788534,11200
1,2-9,UNSAT,0.0,0.0,3.86174686,9880
1,3-1,UNSAT,0.0,0.0,0.20992518,480
1,3-2,UNSAT,0.0,0.0,0.127258474,240
1,3-3,UNSAT,0.0,0.0,0.155457775,280
1,3-4,UNSAT,0.0,0.0,0.121699434,200
1,3-5,UNSAT,0.0,0.0,0.638394954,1480
1,3-6,UNSAT,0.0,0.0,1.054212661,2320
1,3-7,UNSAT,0.0,0.0,1.271278652,2840
1,3-8,UNSAT,0.0,0.0,1.456510531,3400
1,3-9,UNSAT,0.0,0.0,4.209188221,12080
1,4-1,UNSAT,0.0,0.0,0.347217811,720
1,4-2,UNSAT,0.0,0.0,0.161324274,280
1,4-3,UNSAT,0.0,0.0,0.139240861,240
1,4-4,UNSAT,0.0,0.0,0.05367338,160
1,4-5,UNSAT,0.0,0.0,0.282848371,480
1,4-6,UNSAT,0.0,0.0,1.931439289,4120
1,4-7,UNSAT,0.0,0.0,4.03134352,9360
1,4-8,UNSAT,0.0,0.0,1.431406392,3040
1,4-9,Inconclusive,0.0,0.6180011024382845,8.059103287,20000
1,5-1,UNSAT,0.0,0.0,0.128334648,200
1,5-2,UNSAT,0.0,0.0,0.151745802,240
1,5-3,UNSAT,0.0,0.0,0.038581406,120
1,5-4,UNSAT,0.0,0.0,0.041268661,120
1,5-5,UNSAT,0.0,0.0,0.191588326,400
1,5-6,UNSAT,0.0,0.0,0.880466367,1960
1,5-7,UNSAT,0.0,0.0,1.037773073,2280
1,5-8,UNSAT,0.0,0.0,1.782894758,4760
1,5-9,UNSAT,0.0,0.0,1.500198396,3200
2,1-1,UNSAT,2.7866879592736945e-6,0.0023196928175597247,72.401919036,8597
2,1-2,SAT,0.0,2.458065715747415e-5,8.266025937,1000
2,1-3,SAT,0.0,4.731363139291819e-5,110.582630843,13720
2,1-4,SAT,0.0,6.489764247633319e-5,7.130930222,880
2,1-5,SAT,0.0,4.40761391193612e-5,57.445093628,6880
2,1-6,SAT,0.0,1.6384751069504761e-10,4.410019065,480
2,1-7,UNSAT,3.0558598535027336e-8,0.0005726110372700216,125.09885313,14603
2,1-8,UNSAT,1.252115031583827e-7,0.0006706431776737391,81.662810051,9415
2,1-9,UNSAT,3.38339356371005e-8,0.0005598285452863338,142.765890399,16570
2,2-1,SAT,0.0,2.8230347863332297e-12,3.401721387,440
2,2-2,SAT,0.0,1.3187112201639495e-11,0.536171292,40
2,2-3,SAT,0.0,3.931154647069987e-12,1.414113202,160
2,2-4,SAT,0.0,3.040731670828406e-10,0.397285576,40
2,2-5,SAT,0.0,6.310166689855939e-13,0.473390061,40
2,2-6,SAT,0.0,5.127770156324231e-9,0.535217291,40
2,2-7,SAT,0.0,7.145573309386115e-15,0.551960554,40
2,2-8,SAT,0.0,2.5950299880619465e-9,0.456525124,40
2,2-9,SAT,0.0,4.5256832494097775e-5,11.60783824,1360
2,3-1,SAT,0.0,2.0894949012677605e-9,1.845919584,200
2,3-2,SAT,0.0,7.693173872162403e-5,3.91208836,520
2,3-3,Inconclusive,0.0,0.0008459903238488228,151.958946658,20000
2,3-4,SAT,0.0,1.2395793124879104e-12,1.838013702,160
2,3-5,SAT,0.0,3.0556858278369e-11,16.515958647,1360
2,3-6,SAT,0.0,2.4785134928128675e-10,1.314284903,80
2,3-7,SAT,0.0,1.7359864097046734e-11,1.158094972,80
2,3-8,SAT,0.0,2.381133134101318e-9,5.172385028,440
2,3-9,SAT,0.0,1.2846357963923514e-12,0.847914238,40
2,4-1,SAT,0.0,1.0947450413397234e-9,0.683143467,40
2,4-2,Inconclusive,0.0,0.0012579041485978966,165.329999482,20000
2,4-3,SAT,0.0,2.433555137580241e-11,1.092711015,80
2,4-4,SAT,0.0,3.64642313788709e-9,1.27628996,120
2,4-5,SAT,0.0,6.203543511996419e-11,0.744459954,40
2,4-6,SAT,0.0,6.0020097913402854e-12,0.781445536,40
2,4-7,SAT,0.0,2.4587805740163162e-9,0.640894833,40
2,4-8,SAT,0.0,1.2649766631443856e-10,1.284463955,80
2,4-9,Inconclusive,0.0,0.0011914213780750338,187.231955785,20000
2,5-1,SAT,0.0,6.123989617789294e-11,0.451785207,40
2,5-2,SAT,0.0,1.5019077940953689e-9,3.994103212,520
2,5-3,Inconclusive,0.0,0.0004276219489127015,169.008093213,20000
2,5-4,SAT,0.0,1.9064759402132367e-13,1.832220728,200
2,5-5,SAT,0.0,2.9839668199548895e-11,0.63399447,40
2,5-6,SAT,0.0,1.1389471575284904e-13,0.779212023,40
2,5-7,SAT,0.0,2.178741890172335e-12,0.710235102,40
2,5-8,SAT,0.0,2.1473623177175067e-14,1.810849439,160
2,5-9,SAT,0.0,9.743710577694595e-13,0.815454804,40
3,1-1,UNSAT,1.9416719227877385e-6,0.01386844208382918,66.669158262,5812
3,1-2,UNSAT,3.797943731879151e-5,0.03880201920480855,5.393709574,430
3,1-3,Inconclusive,0.0,0.01076703208481505,207.809268501,20000
3,1-4,UNSAT,0.0010435336794644013,Inf,0.102697317,9
3,1-5,UNSAT,0.00026133766031360517,Inf,0.253809324,20
3,1-6,UNSAT,0.0016884814236620752,Inf,0.020261146,2
3,1-7,SAT,0.0,6.050144453836178e-10,0.436543067,40
3,1-8,SAT,0.0,9.268066618423635e-10,0.398138812,40
3,1-9,SAT,0.0,7.476130485331116e-10,0.578529212,40
3,2-1,UNSAT,0.00016663089985752305,0.053498673881593135,1.740995422,149
3,2-2,UNSAT,2.973042623287392e-5,0.02987249130892078,5.42457036,561
3,2-3,UNSAT,2.450979639075466e-5,0.036966877745648934,2.430359946,279
3,2-4,UNSAT,0.03620766374626856,Inf,0.012527038,2
3,2-5,UNSAT,0.006140730216458154,Inf,0.051216493,6
3,2-6,UNSAT,0.030812173330287837,Inf,0.020977827,3
3,2-7,UNSAT,0.012681398557448863,Inf,0.048562009,6
3,2-8,UNSAT,0.003133728518871377,Inf,0.058699107,8
3,2-9,UNSAT,0.031224964320641133,Inf,0.004499678,1
3,3-1,UNSAT,0.0011181116917225685,Inf,0.207786022,22
3,3-2,UNSAT,2.457009298181677e-6,0.032709846158665894,18.174362906,2047
3,3-3,UNSAT,0.0004878637824296781,0.04920994003883897,4.526516049,483
3,3-4,UNSAT,0.0021488917400431257,Inf,0.12929936,12
3,3-5,UNSAT,0.019395903602013286,Inf,0.033382582,4
3,3-6,UNSAT,0.0022978131693317154,Inf,0.117616588,12
3,3-7,UNSAT,0.022827058569641574,Inf,0.013462342,2
3,3-8,UNSAT,0.008048210821680099,Inf,0.065689769,8
3,3-9,UNSAT,0.0005220792486575857,Inf,0.072446607,9
3,4-1,UNSAT,9.875770140972163e-6,0.018386793630475403,5.255502442,588
3,4-2,UNSAT,3.960168549068647e-6,0.024391977718750034,14.594634378,1626
3,4-3,UNSAT,7.390010644605811e-5,0.05067678368740175,4.070065224,462
3,4-4,UNSAT,0.005658902640195873,Inf,0.029601447,4
3,4-5,UNSAT,0.026301318857995776,Inf,0.030081042,4
3,4-6,UNSAT,2.4608327087394953e-8,Inf,0.266307214,19
3,4-7,UNSAT,0.008306260554517662,Inf,0.082404659,10
3,4-8,UNSAT,0.009979061953010796,Inf,0.039581113,5
3,4-9,UNSAT,0.011341303234012853,Inf,0.078384054,9
