property,network,result,lower_bound,upper_bound,time,steps
1,1-1,UNSAT,0.0,0.0,0.240872354,120
1,1-2,UNSAT,0.0,0.0,0.10330965,120
1,1-3,UNSAT,0.0,0.0,0.147356334,160
1,1-4,UNSAT,0.0,0.0,0.075639838,80
1,1-5,UNSAT,0.0,0.0,0.061426187,80
1,1-6,UNSAT,0.0,0.0,0.066956169,80
1,1-7,UNSAT,0.0,0.0,0.049851162,40
1,1-8,UNSAT,0.0,0.0,0.022139351,40
1,1-9,UNSAT,0.0,0.0,0.039174619,40
1,2-1,UNSAT,0.0,0.0,0.088979224,120
1,2-2,UNSAT,0.0,0.0,0.321383044,400
1,2-3,UNSAT,0.0,0.0,0.110722391,160
1,2-4,UNSAT,0.0,0.0,0.122499616,160
1,2-5,UNSAT,0.0,0.0,0.644769857,1040
1,2-6,UNSAT,0.0,0.0,0.395181034,560
1,2-7,UNSAT,0.0,0.0,2.586371387,4600
1,2-8,UNSAT,0.0,0.0,5.619649015,11200
1,2-9,UNSAT,0.0,0.0,5.392388491,9880
1,3-1,UNSAT,0.0,0.0,0.326896333,480
1,3-2,UNSAT,0.0,0.0,0.18702905,240
1,3-3,UNSAT,0.0,0.0,0.237671417,280
1,3-4,UNSAT,0.0,0.0,0.128868128,200
1,3-5,UNSAT,0.0,0.0,0.891903639,1480
1,3-6,UNSAT,0.0,0.0,1.520604998,2320
1,3-7,UNSAT,0.0,0.0,1.578367235,2840
1,3-8,UNSAT,0.0,0.0,1.987042612,3400
1,3-9,UNSAT,0.0,0.0,5.587638033,12080
1,4-1,UNSAT,0.0,0.0,0.477157581,720
1,4-2,UNSAT,0.0,0.0,0.273462006,280
1,4-3,UNSAT,0.0,0.0,0.199438555,240
1,4-4,UNSAT,0.0,0.0,0.1193748,160
1,4-5,UNSAT,0.0,0.0,0.383163309,480
1,4-6,UNSAT,0.0,0.0,3.038979934,4120
1,4-7,UNSAT,0.0,0.0,4.808299457,9360
1,4-8,UNSAT,0.0,0.0,1.642941449,3040
1,4-9,Inconclusive,0.0,0.6180011024382845,9.635420548,20000
1,5-1,UNSAT,0.0,0.0,0.144748294,200
1,5-2,UNSAT,0.0,0.0,0.192736887,240
1,5-3,UNSAT,0.0,0.0,0.107307143,120
1,5-4,UNSAT,0.0,0.0,0.079025913,120
1,5-5,UNSAT,0.0,0.0,0.255216351,400
1,5-6,UNSAT,0.0,0.0,1.075967952,1960
1,5-7,UNSAT,0.0,0.0,1.249653362,2280
1,5-8,UNSAT,0.0,0.0,2.41370103,4760
1,5-9,UNSAT,0.0,0.0,1.925803762,3200
2,1-1,UNSAT,1.7052705534239034e-6,0.0013213362226778009,116.903696951,8597
2,1-2,SAT,0.0,1.7380857307148015e-5,10.16438881,1000
2,1-3,SAT,0.0,9.238361563010389e-5,122.334923009,15840
2,1-4,SAT,0.0,4.5888320173072955e-5,6.644381264,880
2,1-5,SAT,0.0,1.6060231589495877e-5,35.039418949,4720
2,1-6,SAT,0.0,0.0,4.049147731,480
2,1-7,UNSAT,2.1334939545454155e-8,0.0003695582563411938,114.66008428,14603
2,1-8,UNSAT,8.045667637898895e-8,0.00039030000000314473,74.264613062,9415
2,1-9,UNSAT,2.3241282370856098e-8,0.00033515000246858197,134.054315348,16571
2,2-1,SAT,0.0,0.0,3.460379522,440
2,2-2,SAT,0.0,0.0,0.519254957,40
2,2-3,SAT,0.0,0.0,1.360932644,160
2,2-4,SAT,0.0,0.0,0.422860466,40
2,2-5,SAT,0.0,0.0,0.501920187,40
2,2-6,SAT,0.0,0.0,0.560398432,40
2,2-7,SAT,0.0,0.0,0.601952665,40
2,2-8,SAT,0.0,0.0,0.531202536,40
2,2-9,SAT,0.0,9.402264577076155e-5,35.239903567,4760
2,3-1,SAT,0.0,0.0,1.987856819,200
2,3-2,SAT,0.0,5.4397788014654697e-5,3.74682943,520
2,3-3,Inconclusive,0.0,0.0007511494449272751,139.201224664,20000
2,3-4,SAT,0.0,-1.734723475976807e-18,1.310591552,160
2,3-5,SAT,0.0,0.0,10.582419,1360
2,3-6,SAT,0.0,0.0,0.798812055,80
2,3-7,SAT,0.0,1.734723475976807e-18,0.745503173,80
2,3-8,SAT,0.0,1.734723475976807e-18,0.824901149,80
2,3-9,SAT,0.0,0.0,0.628555709,40
2,4-1,SAT,0.0,0.0,0.510290627,40
2,4-2,Inconclusive,0.0,0.0009074068067424189,187.264431458,20000
2,4-3,SAT,0.0,0.0,1.024109173,80
2,4-4,SAT,0.0,0.0,1.23165201,120
2,4-5,SAT,0.0,0.0,0.754571725,40
2,4-6,SAT,0.0,0.0,0.766536774,40
2,4-7,SAT,0.0,0.0,0.654902984,40
2,4-8,SAT,0.0,0.0,0.714094673,40
2,4-9,Inconclusive,0.0,0.0007586878125380603,182.583652115,20000
2,5-1,SAT,0.0,0.0,0.701714312,40
2,5-2,SAT,0.0,-1.734723475976807e-18,4.824161268,520
2,5-3,Inconclusive,0.0,0.00015868035230140118,139.714061991,20000
2,5-4,SAT,0.0,0.0,1.446851248,200
2,5-5,SAT,0.0,1.734723475976807e-18,0.445952228,40
2,5-6,SAT,0.0,-1.734723475976807e-18,0.514276112,40
2,5-7,SAT,0.0,-3.469446951953614e-18,0.450041152,40
2,5-8,SAT,0.0,1.734723475976807e-18,1.277416961,160
2,5-9,SAT,0.0,0.0,0.550539421,40
3,1-1,UNSAT,1.1900572821077482e-6,0.008834345428208566,48.791074489,5812
3,1-2,UNSAT,2.3258891912274963e-5,0.023837111271032517,3.9057826,430
3,1-3,Inconclusive,0.0,0.006471803423756755,158.409178103,20000
3,1-4,UNSAT,0.0006111537091534724,Inf,0.089395808,9
3,1-5,UNSAT,0.0001604778036578959,Inf,0.272363683,20
3,1-6,UNSAT,0.0009825927254795395,Inf,0.018294765,2
3,1-7,SAT,0.0,0.0,0.294060424,40
3,1-8,SAT,0.0,1.734723475976807e-18,0.304492155,40
3,1-9,SAT,0.0,0.0,0.364681928,40
3,2-1,UNSAT,0.00010133312079831548,0.037705972993247405,1.614742507,149
3,2-2,UNSAT,1.735146896478891e-5,0.019598934569988395,5.629785029,561
3,2-3,UNSAT,1.5235218866848851e-5,0.02349700797348872,2.957237889,279
3,2-4,UNSAT,0.02392291249653309,Inf,0.015322098,2
3,2-5,UNSAT,0.0043421580905169364,Inf,0.060243791,6
3,2-6,UNSAT,0.019869189781827064,Inf,0.025240544,3
3,2-7,UNSAT,0.008113384486798436,Inf,0.049688635,6
3,2-8,UNSAT,0.0022158831418049984,Inf,0.06182579,8
3,2-9,UNSAT,0.019937737408771673,Inf,0.004194601,1
3,3-1,UNSAT,0.000649217783414849,Inf,0.251337609,22
3,3-2,UNSAT,1.5049581233717024e-6,0.021316521285085016,22.290577084,2047
3,3-3,UNSAT,0.00034497793057389897,0.03343682256293386,5.358156284,483
3,3-4,UNSAT,0.0012785950469164605,Inf,0.146181346,12
3,3-5,UNSAT,0.013688949895474794,Inf,0.038084085,4
3,3-6,UNSAT,0.0016248057290626314,Inf,0.194155296,12
3,3-7,UNSAT,0.014574288594032297,Inf,0.01546554,2
3,3-8,UNSAT,0.005442075917972125,Inf,0.072630608,8
3,3-9,UNSAT,0.00036917144016959495,Inf,0.088297985,9
3,4-1,UNSAT,6.125618984937053e-6,0.01103561100900892,6.177081312,588
3,4-2,UNSAT,2.743733259474048e-6,0.015205579124031587,18.100976959,1626
3,4-3,UNSAT,4.699133787347285e-5,0.035337619246039995,5.128856214,462
3,4-4,UNSAT,0.0034830050867484448,Inf,0.034177857,4
3,4-5,UNSAT,0.017597035881192567,Inf,0.032694412,4
3,4-6,UNSAT,0.0014299939650403491,Inf,0.284923383,24
3,4-7,UNSAT,0.005739776872449259,Inf,0.092750679,10
3,4-8,UNSAT,0.006753350822952135,Inf,0.046059442,5
3,4-9,UNSAT,0.007660766906069461,Inf,0.141272616,9
3,5-1,UNSAT,0.0003923775993415618,0.028382583792698673,5.371274739,512
3,5-2,UNSAT,0.00018368851311430703,0.036674007233253564,0.989694918,91
3,5-3,UNSAT,0.001081140420809524,Inf,0.177309431,17
3,5-4,UNSAT,0.004472518741011564,Inf,0.036221367,4
3,5-5,UNSAT,0.005165131829779423,Inf,0.091067183,9
3,5-6,UNSAT,0.013213946117122738,Inf,0.104229969,10
3,5-7,UNSAT,0.0056841408661939315,Inf,0.00470532,1
3,5-8,UNSAT,0.002263230880579218,Inf,0.155057908,17
3,5-9,UNSAT,0.001628287285821279,Inf,0.08631637,10
4,1-1,UNSAT,7.287887270721968e-5,0.019347221122556893,3.280865273,297
4,1-2,UNSAT,0.002432762460820359,0.02149081306763985,2.682703174,256
4,1-3,UNSAT,6.286450948251956e-7,0.021836947654469266,63.872061439,6381
4,1-4,UNSAT,0.00014173704532134955,Inf,0.068993858,8
4,1-5,UNSAT,7.786256965911509e-6,0.006668578443078237,1.787784286,188
4,1-6,UNSAT,1.548196187842115e-6,Inf,0.172028546,12
4,1-7,SAT,0.0,0.0,0.285710911,40
4,1-8,SAT,0.0,0.0,0.296176241,40
4,1-9,SAT,0.0,0.0,0.374183383,40
4,2-1,UNSAT,0.0026631175546080743,Inf,0.152424406,15
4,2-2,UNSAT,0.0011784775697415474,Inf,0.127820579,12
4,2-3,UNSAT,0.00617617853179828,Inf,0.024767518,3
4,2-4,UNSAT,0.0019681300235742743,Inf,0.027037084,3
4,2-5,UNSAT,0.00030407310384633103,Inf,0.170623524,18
4,2-6,UNSAT,0.01215657054280332,Inf,0.085166095,8
4,2-7,UNSAT,0.018111955640210845,Inf,0.054757826,6
4,2-8,UNSAT,0.0011625298712162786,Inf,0.177648452,16
4,2-9,UNSAT,0.015175659728317047,Inf,0.012795625,2
4,3-1,UNSAT,0.003354651188453378,Inf,0.089121992,8
4,3-2,UNSAT,0.002766751835153042,Inf,0.084079142,8
4,3-3,UNSAT,0.0012380224944488864,Inf,0.31600028,29
4,3-4,UNSAT,0.005576547991246156,Inf,0.025974982,3
4,3-5,UNSAT,0.0008845914110496966,Inf,0.12290014,13
4,3-6,UNSAT,0.012829720727629881,Inf,0.060476451,5
4,3-7,UNSAT,0.0056312969841305896,Inf,0.040461986,4
4,3-8,UNSAT,0.00031882712154896056,Inf,0.06227211,7
4,3-9,UNSAT,0.005022328212317472,Inf,0.141030952,10
4,4-1,UNSAT,0.00748226637615078,Inf,0.004719874,1
4,4-2,UNSAT,0.0024733511298478967,Inf,0.112641531,12
4,4-3,UNSAT,0.00027703462484238964,Inf,0.047576444,5
4,4-4,UNSAT,0.0024214336815569365,Inf,0.04127513,4
4,4-5,UNSAT,0.003186340393145605,Inf,0.028982719,3
4,4-6,UNSAT,0.017250832482422433,Inf,0.041322715,4
4,4-7,UNSAT,0.02064508535255867,Inf,0.077751724,8
4,4-8,UNSAT,8.822643681362895e-5,Inf,0.32005008,29
4,4-9,UNSAT,0.008249524803819703,Inf,0.0481895,5
4,5-1,UNSAT,0.0038804028585456007,Inf,0.056561298,5
4,5-2,UNSAT,0.0035796691189505115,Inf,0.018359674,2
4,5-3,UNSAT,0.02611502519018132,Inf,0.080039562,8
4,5-4,UNSAT,0.004405337987518438,Inf,0.049674036,5
4,5-5,UNSAT,0.0006870563016236993,Inf,0.051246867,5
4,5-6,UNSAT,0.0023977266784039972,Inf,0.037023302,4
4,5-7,UNSAT,0.020096459398412626,Inf,0.031728102,4
4,5-8,UNSAT,0.0002686933384388572,Inf,0.063951959,7
4,5-9,UNSAT,0.0072241856286349715,Inf,0.026459338,3
