property,network,result,lower_bound,upper_bound,time,steps
1,1-1,UNSAT,0.0,0.0,0.072617896,120
1,1-2,UNSAT,0.0,0.0,0.043560026,120
1,1-3,UNSAT,0.0,0.0,0.11031695,160
1,1-4,UNSAT,0.0,0.0,0.035666048,80
1,1-5,UNSAT,0.0,0.0,0.047833433,80
1,1-6,UNSAT,0.0,0.0,0.057399359,80
1,1-7,UNSAT,0.0,0.0,0.022857897,40
1,1-8,UNSAT,0.0,0.0,0.034080732,40
1,1-9,UNSAT,0.0,0.0,0.015610787,40
1,2-1,UNSAT,0.0,0.0,0.066167646,120
1,2-2,UNSAT,0.0,0.0,0.256655251,400
1,2-3,UNSAT,0.0,0.0,0.078648553,160
1,2-4,UNSAT,0.0,0.0,0.075903266,160
1,2-5,UNSAT,0.0,0.0,0.503428253,1040
1,2-6,UNSAT,0.0,0.0,0.281635666,560
1,2-7,UNSAT,0.0,0.0,1.974880612,4600
1,2-8,UNSAT,0.0,0.0,4.43486848,11200
1,2-9,UNSAT,0.0,0.0,4.046475468,9880
1,3-1,UNSAT,0.0,0.0,0.242602866,480
1,3-2,UNSAT,0.0,0.0,0.126228924,240
1,3-3,UNSAT,0.0,0.0,0.152644374,280
1,3-4,UNSAT,0.0,0.0,0.088352976,200
1,3-5,UNSAT,0.0,0.0,0.656052276,1480
1,3-6,UNSAT,0.0,0.0,1.102541113,2320
1,3-7,UNSAT,0.0,0.0,1.245871075,2840
1,3-8,UNSAT,0.0,0.0,1.485306781,3400
1,3-9,UNSAT,0.0,0.0,4.151312574,12080
1,4-1,UNSAT,0.0,0.0,0.377889286,720
1,4-2,UNSAT,0.0,0.0,0.164248992,280
1,4-3,UNSAT,0.0,0.0,0.108905267,240
1,4-4,UNSAT,0.0,0.0,0.079525337,160
1,4-5,UNSAT,0.0,0.0,0.240910745,480
1,4-6,UNSAT,0.0,0.0,1.964807459,4120
1,4-7,UNSAT,0.0,0.0,3.949540754,9360
1,4-8,UNSAT,0.0,0.0,1.393769897,3040
1,4-9,Inconclusive,0.0,0.6180011024382845,8.826018741,20000
1,5-1,UNSAT,0.0,0.0,0.128252513,200
1,5-2,UNSAT,0.0,0.0,0.144304431,240
1,5-3,UNSAT,0.0,0.0,0.071236551,120
1,5-4,UNSAT,0.0,0.0,0.047490315,120
1,5-5,UNSAT,0.0,0.0,0.266753531,400
1,5-6,UNSAT,0.0,0.0,0.897977862,1960
1,5-7,UNSAT,0.0,0.0,0.975453321,2280
1,5-8,UNSAT,0.0,0.0,2.520480904,4760
1,5-9,UNSAT,0.0,0.0,1.542986768,3200
2,1-1,UNSAT,3.4105411068525993e-6,0.0026426724454381087,63.360064929,8597
2,1-2,SAT,0.0,3.476171461429603e-5,6.986304223,1000
2,1-3,SAT,0.0,4.775300834039542e-5,102.470679209,15920
2,1-4,SAT,0.0,9.177664034614591e-5,6.01082764,880
2,1-5,SAT,0.0,6.966596385774362e-5,48.370108138,6920
2,1-6,SAT,0.0,0.0,3.802168153,480
2,1-7,UNSAT,4.266987908198626e-8,0.0007391165089443291,106.085458106,14606
2,1-8,UNSAT,2.2973163400239332e-8,0.0007806000000042043,70.649519332,9414
2,1-9,UNSAT,4.6482564747426366e-8,0.0006703000000010013,128.408379101,16572
2,2-1,SAT,0.0,0.0,2.829874568,440
2,2-2,SAT,0.0,0.0,0.494896268,40
2,2-3,SAT,0.0,0.0,1.163546681,160
2,2-4,SAT,0.0,0.0,0.403629175,40
2,2-5,SAT,0.0,0.0,0.419344103,40
2,2-6,SAT,0.0,0.0,0.480375718,40
2,2-7,SAT,0.0,0.0,0.476665766,40
2,2-8,SAT,0.0,0.0,0.450820013,40
2,2-9,SAT,0.0,6.68807891885427e-5,38.313196848,5800
2,3-1,SAT,0.0,5.204170427930421e-18,1.77088492,200
2,3-2,SAT,0.0,3.469446951953614e-18,8.357838414,1360
2,3-3,Inconclusive,0.0,0.0015022988898545503,124.737811018,20000
2,3-4,SAT,0.0,0.0,1.385527166,160
2,3-5,SAT,0.0,0.0,9.909008608,1360
2,3-6,SAT,0.0,0.0,0.692809293,80
2,3-7,SAT,0.0,0.0,0.752404905,80
2,3-8,SAT,0.0,0.0,0.694950549,80
2,3-9,SAT,0.0,0.0,0.527088122,40
2,4-1,SAT,0.0,0.0,0.461588991,40
2,4-2,Inconclusive,0.0,0.001778943734655307,127.569471465,20000
2,4-3,SAT,0.0,0.0,0.683099508,80
2,4-4,SAT,0.0,0.0,0.911287454,120
2,4-5,SAT,0.0,0.0,0.439564852,40
2,4-6,SAT,0.0,0.0,0.502758046,40
2,4-7,SAT,0.0,0.0,0.435801394,40
2,4-8,SAT,0.0,0.0,0.477633895,40
2,4-9,Inconclusive,0.0,0.0015173756250761207,130.446501055,20000
2,5-1,SAT,0.0,0.0,0.475497691,40
2,5-2,SAT,0.0,0.0,3.396005267,520
2,5-3,Inconclusive,0.0,0.0005828774318649629,122.829614748,20000
2,5-4,SAT,0.0,0.0,1.781693329,200
2,5-5,SAT,0.0,0.0,0.797863353,40
2,5-6,SAT,0.0,-1.734723475976807e-18,0.592558351,40
2,5-7,SAT,0.0,6.938893903907228e-18,0.495291775,40
2,5-8,SAT,0.0,-3.469446951953614e-18,1.282285097,160
2,5-9,SAT,0.0,0.0,0.591175989,40
3,1-1,UNSAT,2.3801145642230456e-6,0.017668690856417132,44.467720629,5812
3,1-2,UNSAT,4.651778382465388e-5,0.047674222542065034,3.406950693,430
3,1-3,Inconclusive,0.0,0.01367940054410247,123.413363808,20000
3,1-4,UNSAT,0.0012223074183069413,Inf,0.061975841,9
3,1-5,UNSAT,0.00032095560731578636,Inf,0.247594325,20
3,1-6,UNSAT,0.0019651854509590773,Inf,0.013925846,2
3,1-7,SAT,0.0,0.0,0.193535206,40
3,1-8,SAT,0.0,0.0,0.22972482,40
3,1-9,SAT,0.0,0.0,0.252966531,40
3,2-1,UNSAT,0.0002026662415967606,0.07541194599274403,1.206440916,149
3,2-2,UNSAT,3.47029379295094e-5,0.0391978691442936,4.191436484,561
3,2-3,UNSAT,3.047043773367703e-5,0.0469940159490348,1.955328572,279
3,2-4,UNSAT,0.047845824993066194,Inf,0.010976143,2
3,2-5,UNSAT,0.008684316181033963,Inf,0.040369562,6
3,2-6,UNSAT,0.03973837956365414,Inf,0.018017646,3
3,2-7,UNSAT,0.016226768973596886,Inf,0.038405084,6
3,2-8,UNSAT,0.004431766283610001,Inf,0.050804827,8
3,2-9,UNSAT,0.03987547481754333,Inf,0.00404579,1
3,3-1,UNSAT,0.0012984355668299585,Inf,0.236116125,22
3,3-2,UNSAT,3.0099162468975153e-6,0.042633042574936206,14.935799034,2047
3,3-3,UNSAT,0.0006899558611477841,0.06687364513180485,3.631715266,483
3,3-4,UNSAT,0.002557190093833015,Inf,0.087277495,12
3,3-5,UNSAT,0.02737789979094958,Inf,0.026252158,4
3,3-6,UNSAT,0.0032496114581252646,Inf,0.094775795,12
3,3-7,UNSAT,0.02914857718806462,Inf,0.012486065,2
3,3-8,UNSAT,0.010884151835944253,Inf,0.05168614,8
3,3-9,UNSAT,0.000738342880339176,Inf,0.059046888,9
3,4-1,UNSAT,1.225123796999572e-5,0.022071222022263887,4.316957673,588
3,4-2,UNSAT,5.487466518956909e-6,0.030411158248063175,12.240621941,1626
3,4-3,UNSAT,9.398267574692658e-5,0.07067523849810546,3.51616444,462
3,4-4,UNSAT,0.006966010173496884,Inf,0.022460461,4
3,4-5,UNSAT,0.035194071762385135,Inf,0.021919793,4
3,4-6,UNSAT,0.0028599879300806913,Inf,0.248591436,24
3,4-7,UNSAT,0.011479553744898549,Inf,0.061882691,10
3,4-8,UNSAT,0.013506701645904295,Inf,0.031916839,5
3,4-9,UNSAT,0.015321533812138967,Inf,0.059109379,9
3,5-1,UNSAT,0.0007847551986831935,0.056765167592492366,3.584073665,512
3,5-2,UNSAT,0.00036737702622843815,0.07334801447529472,0.663659242,91
3,5-3,UNSAT,0.0021622808416190756,Inf,0.117674573,17
3,5-4,UNSAT,0.008945037482023152,Inf,0.023981096,4
3,5-5,UNSAT,0.010330263659558872,Inf,0.056384155,9
3,5-6,UNSAT,0.02642789223424548,Inf,0.124865535,10
3,5-7,UNSAT,0.011368281732387863,Inf,0.00367415,1
3,5-8,UNSAT,0.004526461761158444,Inf,0.106786202,17
3,5-9,UNSAT,0.0032565745716425475,Inf,0.052256044,10
4,1-1,UNSAT,0.0001457577454144765,0.038694442245113786,2.167906966,297
4,1-2,UNSAT,0.00486552492164033,0.0429816261352797,1.897431611,256
4,1-3,UNSAT,1.2572901897595852e-6,0.04367389530893853,41.792672837,6381
4,1-4,UNSAT,0.00028347409064268664,Inf,0.054220713,8
4,1-5,UNSAT,1.55725139318262e-5,0.013337156891664575,1.462543105,188
4,1-6,UNSAT,3.096392375690274e-6,Inf,0.087030953,12
4,1-7,SAT,0.0,0.0,0.212685149,40
4,1-8,SAT,0.0,0.0,0.223606885,40
4,1-9,SAT,0.0,0.0,0.297040484,40
4,2-1,UNSAT,0.0053262351092154825,Inf,0.102106161,15
4,2-2,UNSAT,0.0023569551394829746,Inf,0.082260972,12
4,2-3,UNSAT,0.012352357063596525,Inf,0.017672719,3
4,2-4,UNSAT,0.0039362600471486014,Inf,0.01970595,3
4,2-5,UNSAT,0.0006081462076926588,Inf,0.12187502,18
4,2-6,UNSAT,0.024313141085606636,Inf,0.056720083,8
4,2-7,UNSAT,0.03622391128042168,Inf,0.041515095,6
4,2-8,UNSAT,0.0023250597424325564,Inf,0.185052645,16
4,2-9,UNSAT,0.030351319456634086,Inf,0.010648341,2
4,3-1,UNSAT,0.006709302376906701,Inf,0.063350605,8
4,3-2,UNSAT,0.005533503670306306,Inf,0.060648945,8
4,3-3,UNSAT,0.0024760449888977867,Inf,0.177795278,29
4,3-4,UNSAT,0.01115309598249236,Inf,0.018067803,3
4,3-5,UNSAT,0.0017691828220994348,Inf,0.090123126,13
4,3-6,UNSAT,0.025659441455259772,Inf,0.037521183,5
4,3-7,UNSAT,0.01126259396826119,Inf,0.024546591,4
4,3-8,UNSAT,0.0006376542430979334,Inf,0.104257028,7
4,3-9,UNSAT,0.010044656424634939,Inf,0.071088833,10
4,4-1,UNSAT,0.01496453275230153,Inf,0.003774565,1
4,4-2,UNSAT,0.004946702259696012,Inf,0.079478852,12
4,4-3,UNSAT,0.0005540692496849436,Inf,0.034650116,5
4,4-4,UNSAT,0.004842867363113887,Inf,0.027217076,4
4,4-5,UNSAT,0.006372680786291255,Inf,0.020402428,3
4,4-6,UNSAT,0.03450166496484485,Inf,0.028248299,4
4,4-7,UNSAT,0.041290170705117354,Inf,0.045111374,8
4,4-8,UNSAT,0.0001764528736272597,Inf,0.185851401,29
4,4-9,UNSAT,0.016499049607639402,Inf,0.033490155,5
4,5-1,UNSAT,0.007760805717090924,Inf,0.031714944,5
4,5-2,UNSAT,0.007159338237900492,Inf,0.012633017,2
4,5-3,UNSAT,0.05223005038036277,Inf,0.05330707,8
4,5-4,UNSAT,0.008810675975036857,Inf,0.032495757,5
4,5-5,UNSAT,0.001374112603247434,Inf,0.034668383,5
4,5-6,UNSAT,0.004795453356807995,Inf,0.027929732,4
4,5-7,UNSAT,0.04019291879682524,Inf,0.025191857,4
4,5-8,UNSAT,0.0005373866768777105,Inf,0.046763657,7
4,5-9,UNSAT,0.014448371257269943,Inf,0.019418793,3
