property,network,result,lower_bound,upper_bound,time,steps
1,1-1,UNSAT,0.0,0.0,0.080554189,120
1,1-2,UNSAT,0.0,0.0,0.069131388,120
1,1-3,UNSAT,0.0,0.0,0.087883923,160
1,1-4,UNSAT,0.0,0.0,0.058345113,80
1,1-5,UNSAT,0.0,0.0,0.029760001,80
1,1-6,UNSAT,0.0,0.0,0.056265339,80
1,1-7,UNSAT,0.0,0.0,0.034136431,40
1,1-8,UNSAT,0.0,0.0,0.01533,40
1,1-9,UNSAT,0.0,0.0,0.012259879,40
1,2-1,UNSAT,0.0,0.0,0.056384217,120
1,2-2,UNSAT,0.0,0.0,0.225151395,400
1,2-3,UNSAT,0.0,0.0,0.076060266,160
1,2-4,UNSAT,0.0,0.0,0.070443796,160
1,2-5,UNSAT,0.0,0.0,0.47582812,1040
1,2-6,UNSAT,0.0,0.0,0.243229009,560
1,2-7,UNSAT,0.0,0.0,1.783461553,4600
1,2-8,UNSAT,0.0,0.0,4.04975233,11200
1,2-9,UNSAT,0.0,0.0,3.686148997,9880
1,3-1,UNSAT,0.0,0.0,0.217315977,480
1,3-2,UNSAT,0.0,0.0,0.128306232,240
1,3-3,UNSAT,0.0,0.0,0.146213722,280
1,3-4,UNSAT,0.0,0.0,0.086756844,200
1,3-5,UNSAT,0.0,0.0,0.611247993,1480
1,3-6,UNSAT,0.0,0.0,1.031523853,2320
1,3-7,UNSAT,0.0,0.0,1.126108259,2840
1,3-8,UNSAT,0.0,0.0,1.395403657,3400
1,3-9,UNSAT,0.0,0.0,4.047003183,12080
1,4-1,UNSAT,0.0,0.0,0.315797572,720
1,4-2,UNSAT,0.0,0.0,0.166279476,280
1,4-3,UNSAT,0.0,0.0,0.148048405,240
1,4-4,UNSAT,0.0,0.0,0.050284524,160
1,4-5,UNSAT,0.0,0.0,0.248645075,480
1,4-6,UNSAT,0.0,0.0,1.934330207,4120
1,4-7,UNSAT,0.0,0.0,3.833693952,9360
1,4-8,UNSAT,0.0,0.0,1.280404138,3040
1,4-9,Inconclusive,0.0,0.6180011024382845,7.740526648,20000
1,5-1,UNSAT,0.0,0.0,0.093412518,200
1,5-2,UNSAT,0.0,0.0,0.115685632,240
1,5-3,UNSAT,0.0,0.0,0.074482788,120
1,5-4,UNSAT,0.0,0.0,0.035341933,120
1,5-5,UNSAT,0.0,0.0,0.185507292,400
1,5-6,UNSAT,0.0,0.0,0.836896168,1960
1,5-7,UNSAT,0.0,0.0,0.93420097,2280
1,5-8,UNSAT,0.0,0.0,1.738860341,4760
1,5-9,UNSAT,0.0,0.0,1.417145413,3200
2,1-1,UNSAT,3.4105411068525993e-6,0.0026426724454381087,56.462529034,8597
2,1-2,SAT,0.0,3.476171461429603e-5,6.461091393,1000
2,1-3,SAT,0.0,4.775300834039542e-5,107.865117818,15920
2,1-4,SAT,0.0,9.177664034614591e-5,6.278212665,880
2,1-5,SAT,0.0,6.966596385774362e-5,51.703770881,6920
2,1-6,SAT,0.0,0.0,4.028663528,480
2,1-7,UNSAT,4.266987908198626e-8,0.0007391165089443291,112.871042993,14606
2,1-8,UNSAT,2.2973163400239332e-8,0.0007806000000042043,79.78052104,9414
2,1-9,UNSAT,4.6482564747426366e-8,0.0006703000000010013,140.841304933,16572
2,2-1,SAT,0.0,0.0,3.503184528,440
2,2-2,SAT,0.0,0.0,0.449205124,40
2,2-3,SAT,0.0,0.0,1.356624821,160
2,2-4,SAT,0.0,0.0,0.444681798,40
2,2-5,SAT,0.0,0.0,0.407269104,40
2,2-6,SAT,0.0,0.0,0.504766589,40
2,2-7,SAT,0.0,0.0,0.56077308,40
2,2-8,SAT,0.0,0.0,0.479463961,40
2,2-9,SAT,0.0,6.68807891885427e-5,45.79714109,5800
2,3-1,SAT,0.0,5.204170427930421e-18,1.876350787,200
2,3-2,SAT,0.0,3.469446951953614e-18,8.976961707,1360
2,3-3,Inconclusive,0.0,0.0015022988898545503,131.012580713,20000
2,3-4,SAT,0.0,0.0,1.326434606,160
2,3-5,SAT,0.0,0.0,10.524201418,1360
2,3-6,SAT,0.0,0.0,0.782527361,80
2,3-7,SAT,0.0,0.0,0.754699053,80
2,3-8,SAT,0.0,0.0,0.752158827,80
2,3-9,SAT,0.0,0.0,0.607532918,40
2,4-1,SAT,0.0,0.0,0.410591786,40
2,4-2,Inconclusive,0.0,0.001778943734655307,133.880463514,20000
2,4-3,SAT,0.0,0.0,0.783791835,80
2,4-4,SAT,0.0,0.0,0.881383367,120
2,4-5,SAT,0.0,0.0,0.49806122,40
2,4-6,SAT,0.0,0.0,0.508207076,40
2,4-7,SAT,0.0,0.0,0.457872371,40
2,4-8,SAT,0.0,0.0,0.410226903,40
2,4-9,Inconclusive,0.0,0.0015173756250761207,134.287605773,20000
2,5-1,SAT,0.0,0.0,0.400906368,40
2,5-2,SAT,0.0,0.0,3.353067821,520
2,5-3,Inconclusive,0.0,0.0005828774318649629,124.788905477,20000
2,5-4,SAT,0.0,0.0,1.557752228,200
2,5-5,SAT,0.0,0.0,0.642087,40
2,5-6,SAT,0.0,-1.734723475976807e-18,0.506430759,40
2,5-7,SAT,0.0,6.938893903907228e-18,0.548589704,40
2,5-8,SAT,0.0,-3.469446951953614e-18,1.519681444,160
2,5-9,SAT,0.0,0.0,0.546257023,40
3,1-1,UNSAT,2.3801145642230456e-6,0.017668690856417132,47.166008219,5812
3,1-2,UNSAT,4.651778382465388e-5,0.047674222542065034,3.743920877,430
3,1-3,Inconclusive,0.0,0.01367940054410247,136.039486391,20000
3,1-4,UNSAT,0.0012223074183069413,Inf,0.198483187,9
3,1-5,UNSAT,0.00032095560731578636,Inf,0.14868701,20
3,1-6,UNSAT,0.0019651854509590773,Inf,0.014328197,2
3,1-7,SAT,0.0,0.0,0.195239267,40
3,1-8,SAT,0.0,0.0,0.241055487,40
3,1-9,SAT,0.0,0.0,0.255161357,40
3,2-1,UNSAT,0.0002026662415967606,0.07541194599274403,1.156144222,149
3,2-2,UNSAT,3.47029379295094e-5,0.0391978691442936,4.192188832,561
3,2-3,UNSAT,3.047043773367703e-5,0.0469940159490348,2.089565655,279
3,2-4,UNSAT,0.047845824993066194,Inf,0.011580796,2
3,2-5,UNSAT,0.008684316181033963,Inf,0.043268491,6
3,2-6,UNSAT,0.03973837956365414,Inf,0.020344042,3
3,2-7,UNSAT,0.016226768973596886,Inf,0.042673869,6
3,2-8,UNSAT,0.004431766283610001,Inf,0.049767186,8
3,2-9,UNSAT,0.03987547481754333,Inf,0.004085399,1
3,3-1,UNSAT,0.0012984355668299585,Inf,0.178052211,22
3,3-2,UNSAT,3.0099162468975153e-6,0.042633042574936206,16.177499511,2047
3,3-3,UNSAT,0.0006899558611477841,0.06687364513180485,3.858254305,483
3,3-4,UNSAT,0.002557190093833015,Inf,0.091773517,12
3,3-5,UNSAT,0.02737789979094958,Inf,0.027121092,4
3,3-6,UNSAT,0.0032496114581252646,Inf,0.086132781,12
3,3-7,UNSAT,0.02914857718806462,Inf,0.011284417,2
3,3-8,UNSAT,0.010884151835944253,Inf,0.050037519,8
3,3-9,UNSAT,0.000738342880339176,Inf,0.055961827,9
3,4-1,UNSAT,1.225123796999572e-5,0.022071222022263887,4.085981118,588
3,4-2,UNSAT,5.487466518956909e-6,0.030411158248063175,13.473669621,1626
3,4-3,UNSAT,9.398267574692658e-5,0.07067523849810546,4.095862063,462
3,4-4,UNSAT,0.006966010173496884,Inf,0.022727987,4
3,4-5,UNSAT,0.035194071762385135,Inf,0.02250879,4
3,4-6,UNSAT,0.0028599879300806913,Inf,0.209032187,24
3,4-7,UNSAT,0.011479553744898549,Inf,0.066868001,10
3,4-8,UNSAT,0.013506701645904295,Inf,0.033234569,5
3,4-9,UNSAT,0.015321533812138967,Inf,0.059437202,9
3,5-1,UNSAT,0.0007847551986831935,0.056765167592492366,3.906569694,512
3,5-2,UNSAT,0.00036737702622843815,0.07334801447529472,0.743188684,91
3,5-3,UNSAT,0.0021622808416190756,Inf,0.122495086,17
3,5-4,UNSAT,0.008945037482023152,Inf,0.02557008,4
3,5-5,UNSAT,0.010330263659558872,Inf,0.059780946,9
3,5-6,UNSAT,0.02642789223424548,Inf,0.069856725,10
3,5-7,UNSAT,0.011368281732387863,Inf,0.092705018,1
3,5-8,UNSAT,0.004526461761158444,Inf,0.118970921,17
3,5-9,UNSAT,0.0032565745716425475,Inf,0.057298944,10
4,1-1,UNSAT,0.0001457577454144765,0.038694442245113786,2.339287941,297
4,1-2,UNSAT,0.00486552492164033,0.0429816261352797,1.991064962,256
4,1-3,UNSAT,1.2572901897595852e-6,0.04367389530893853,44.400162167,6381
4,1-4,UNSAT,0.00028347409064268664,Inf,0.049688718,8
4,1-5,UNSAT,1.55725139318262e-5,0.013337156891664575,1.490796325,188
4,1-6,UNSAT,3.096392375690274e-6,Inf,0.084053303,12
4,1-7,SAT,0.0,0.0,0.222156105,40
4,1-8,SAT,0.0,0.0,0.227081468,40
4,1-9,SAT,0.0,0.0,0.230614621,40
4,2-1,UNSAT,0.0053262351092154825,Inf,0.100962702,15
4,2-2,UNSAT,0.0023569551394829746,Inf,0.086582874,12
4,2-3,UNSAT,0.012352357063596525,Inf,0.019589113,3
4,2-4,UNSAT,0.0039362600471486014,Inf,0.019886026,3
4,2-5,UNSAT,0.0006081462076926588,Inf,0.231700668,18
4,2-6,UNSAT,0.024313141085606636,Inf,0.056145864,8
4,2-7,UNSAT,0.03622391128042168,Inf,0.039481459,6
4,2-8,UNSAT,0.0023250597424325564,Inf,0.117635879,16
4,2-9,UNSAT,0.030351319456634086,Inf,0.009742046,2
4,3-1,UNSAT,0.006709302376906701,Inf,0.058124492,8
4,3-2,UNSAT,0.005533503670306306,Inf,0.056491468,8
4,3-3,UNSAT,0.0024760449888977867,Inf,0.177737105,29
4,3-4,UNSAT,0.01115309598249236,Inf,0.018869972,3
4,3-5,UNSAT,0.0017691828220994348,Inf,0.091928295,13
4,3-6,UNSAT,0.025659441455259772,Inf,0.038729739,5
4,3-7,UNSAT,0.01126259396826119,Inf,0.028088136,4
4,3-8,UNSAT,0.0006376542430979334,Inf,0.042891687,7
4,3-9,UNSAT,0.010044656424634939,Inf,0.067405453,10
4,4-1,UNSAT,0.01496453275230153,Inf,0.00365105,1
4,4-2,UNSAT,0.004946702259696012,Inf,0.076957205,12
4,4-3,UNSAT,0.0005540692496849436,Inf,0.034135214,5
4,4-4,UNSAT,0.004842867363113887,Inf,0.027240961,4
4,4-5,UNSAT,0.006372680786291255,Inf,0.020656138,3
4,4-6,UNSAT,0.03450166496484485,Inf,0.031040596,4
4,4-7,UNSAT,0.041290170705117354,Inf,0.049169424,8
4,4-8,UNSAT,0.0001764528736272597,Inf,0.188897463,29
4,4-9,UNSAT,0.016499049607639402,Inf,0.032911905,5
4,5-1,UNSAT,0.007760805717090924,Inf,0.033303875,5
4,5-2,UNSAT,0.007159338237900492,Inf,0.011853011,2
4,5-3,UNSAT,0.05223005038036277,Inf,0.051434153,8
4,5-4,UNSAT,0.008810675975036857,Inf,0.032086533,5
4,5-5,UNSAT,0.001374112603247434,Inf,0.032590182,5
4,5-6,UNSAT,0.004795453356807995,Inf,0.105913573,4
4,5-7,UNSAT,0.04019291879682524,Inf,0.023536559,4
4,5-8,UNSAT,0.0005373866768777105,Inf,0.045259751,7
4,5-9,UNSAT,0.014448371257269943,Inf,0.020155477,3
